,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM4491050,0.9991081953048706,GSE149150,Activation of the Crtc2/Creb1 transcriptional network in skeletal muscle enhances weight loss during intermittent fasting,,,"Exercise is a behavior modification indispensable for long-term weight loss. Exercise activates the Creb-Regulated Transcriptional Coactivator (Crtc) family of transcriptional coregulators to drive Creb1-mediated anabolic transcriptional programs in skeletal muscle. Here, we show that induced overexpression of a skeletal muscle specific Crtc2 transgene in aged mice leads to greater weight loss during alternate day fasting, and selective loss of fat rather than lean mass. Transcriptional profiling revealed that fasting and weight loss downregulated most of the mitochondrial electron transport genes and other regulators of mitochondrial function that were substantially reversed in the Crtc2 mice, which maintained higher energy expenditure during fasting. The Crtc2 mice displayed greater mitochondrial activity, metabolic flux capacity for both carbohydrates and fats, improved glucose tolerance and insulin sensitivity, and increased oxidative capacity before the fast, suggesting muscle-intrinsic mechanisms in support of improved weight loss. This work reveals that Crtc2/Creb1-mediated signaling coordinates metabolic adaptations in skeletal muscle that explain how Crtc2/Creb contribute to the effects of exercise on metabolism and weight loss.",mice tibialis anterior muscles transduced with GFP (empty) or Crtc2 expression vector were compared by mRNA-seq after ad libitum feeding or 3 rounds of alternate day fasting (ADF),34748223,,,359381,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/11/09,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149150/,Activation of Crtc2/Creb1 in skeletal muscle enhances weight loss during intermittent fasting.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2021 Dec,10.1096/fj.202100171R,OSD-326|SRR11148753,Ground Control
1,GSM5399046,0.9988747835159302,GSE174540,"Characterization of a novel mouse model of undifferentiated pleomorphic sarcoma that  is lymphocyte poor, macrophage rich, and resistant to immune checkpoint blockade",,,"Sarcomas are rare, difficult to treat, mesenchymal lineage tumours that  disproportionately affect children and young adults. Immunologically-based therapies  have improved outcomes for numerous adult cancers, however, such approaches have  proven ineffective for the majority of individuals with advanced sarcomas. Clinically  relevant, immunologically-competent, and transplantable pre-clinical sarcoma models  are needed in order to test and develop novel immunologically-based therapies for  sarcoma. Herein we show that Cre- lox P-mediated simultaneous activation of  Kras  G12D , and deletion  Trp53,  in the hindlimb muscles of C57Bl/6 mice results in the  development of highly penetrant, rapid onset undifferentiated pleomorphic sarcomas  (UPS). The latter represents a model one of the most common human sarcoma  subtypes both histologically and genetically. Furthermore, cell lines derived from the  UPS tumors induced in C57Bl/6 mice can be transplanted into the hindlimbs or lungs of  naïve, immune competent syngeneic mice. Immunological characterization of both the  spontaneous and transplanted UPS tumours demonstrates an immunologically-  ‘quiescent’ microenvironment, characterized by a paucity of lymphocytes and  spontaneous adaptive immune pathways in addition to dense macrophage infiltrates.  UPS cell line induced tumours demonstrate mildly increased lymphocytic infiltrates as  compared with the spontaneous UPS tumours, furthermore, growth of transplanted  UPS was unaltered in lymphocyte deficient hosts. Despite expression of PD-1 on the  tumour infiltrating lymphocytes, UPS tumours were resistant to immunological  checkpoint blockade. This syngeneic transplantable UPS model that recapitulates  many of the immunological features of human UPS will prove invaluable for the preclinical development and evaluation of novel immunotherapeutic approaches for  targeting sarcomas.",Examination of spontaneous tumor and control muscle,34242269,,,513934,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/06/24,5,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174540/,"The KrasG12D;Trp53fl/fl murine model of undifferentiated pleomorphic sarcoma is macrophage dense, lymphocyte poor, and resistant to immune checkpoint blockade.",PloS one,2021,10.1371/journal.pone.0253864,OSD-326|SRR11148753,Ground Control
2,GSM6348283,0.9987986087799072,GSE208548,Skeletal Muscle Transcriptome Is Affected By Age In Severely Burned Mice,,,"Severe burn results in muscle wasting affecting quality of life in both children and adults. Biologic metabolic profiles are noticeably distinctive in childhood. We posit that muscle gene expression profiles are differentially regulated in response to severe burns in young animals. Twelve C57BL6 male mice, including young (5 weeks-old) and adults (11 weeks-old), received either scald burn, or sham procedure. Mouse muscle tissue was harvested 24 hours later for Next Generation Sequence (NGS) analysis. Our results showed 662 downregulated and 450 upregulated genes in gastrocnemius of young mice compared to adults without injury. After injury, we found 74/75 downregulated genes and 107/128 upregulated genes in both burned groups compared to respective uninjured age groups. VEGFA-VEGFR2, focal adhesion, and nuclear receptor meta-pathways were the top 3 gene pathways undergoing a differential change in response to age. Of note, the proteasome degradation pathway showed the most similar changes in both adult and young burned animals. This study demonstrates the characteristic profile of gene expression in skeletal muscle in young and adult burned mice. Prominent age effects were revealed in transcriptional levels with increased alterations of genes, miRNAs, pathways, and interactions.","Twelve C57BL6 male mice (six 4-weeks-old, young; and six 10-weeks-old, adult) received either a 25% body surface area (TBSA) scald burn, or sham burn procedure. There are 3 animals  per group. Gastrocnemius tissues were harvested from euthanized animals 24 hours after injury.mRNA and miRNA were examined by Next Generation Sequence (NGS) analysis.",36517580,,,658415,GPL21626,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2022/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208548/,Skeletal muscle transcriptome is affected by age in severely burned mice.,Scientific reports,2022 Dec 14,10.1038/s41598-022-26040-1,OSD-326|SRR11148753,Ground Control
3,GSM5425152,0.9987946152687073,GSE179619,"Gene expression profile (RNAseq) in atrophic gastrocnemius muscle of wild type, ZEB1 and ZEB2 knock out mice",,,"Purpose: Characterize the gene expression profile of gastrocnemius muscle in wild type, ZEB1 and ZEB2 knock out mice subjected to 36 hours of fasting Methods: RNA sequencing of RNA from total gastrocnemius muscle after 36h of fasting from the three genotypes used in this study: ZEB1-control, ZEB1-KO, ZEB2-control, ZEB2-KO. Males and females were used from the four genotype (ZEB1flx/flx, ZEB1flx/flx;HSACre, ZEB2flx/flx, ZEB2flx/flx;HSACre). Results: Knockout of ZEB1 or ZEB2 results in differential gene expression in atrophic gastrocnemius muscle Conclusions: Comparison of wild type, ZEB1 and ZEB2 KO muscles displayed differential gene expression profiles after fasting",RNA sequencing of total RNA from ZEB1 and ZEB2 HSA-Cre knocked-down muscles and their respective controls. Two mice of each genotype was used per sample. At least two sample per genotype were used for RNA sequencing.,,,,516552,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/28,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE179nnn/GSE179619/,,,,,OSD-326|SRR11148753,Ground Control
4,GSM6348281,0.9987662434577942,GSE208548,Skeletal Muscle Transcriptome Is Affected By Age In Severely Burned Mice,,,"Severe burn results in muscle wasting affecting quality of life in both children and adults. Biologic metabolic profiles are noticeably distinctive in childhood. We posit that muscle gene expression profiles are differentially regulated in response to severe burns in young animals. Twelve C57BL6 male mice, including young (5 weeks-old) and adults (11 weeks-old), received either scald burn, or sham procedure. Mouse muscle tissue was harvested 24 hours later for Next Generation Sequence (NGS) analysis. Our results showed 662 downregulated and 450 upregulated genes in gastrocnemius of young mice compared to adults without injury. After injury, we found 74/75 downregulated genes and 107/128 upregulated genes in both burned groups compared to respective uninjured age groups. VEGFA-VEGFR2, focal adhesion, and nuclear receptor meta-pathways were the top 3 gene pathways undergoing a differential change in response to age. Of note, the proteasome degradation pathway showed the most similar changes in both adult and young burned animals. This study demonstrates the characteristic profile of gene expression in skeletal muscle in young and adult burned mice. Prominent age effects were revealed in transcriptional levels with increased alterations of genes, miRNAs, pathways, and interactions.","Twelve C57BL6 male mice (six 4-weeks-old, young; and six 10-weeks-old, adult) received either a 25% body surface area (TBSA) scald burn, or sham burn procedure. There are 3 animals  per group. Gastrocnemius tissues were harvested from euthanized animals 24 hours after injury.mRNA and miRNA were examined by Next Generation Sequence (NGS) analysis.",36517580,,,658413,GPL21626,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2022/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208548/,Skeletal muscle transcriptome is affected by age in severely burned mice.,Scientific reports,2022 Dec 14,10.1038/s41598-022-26040-1,OSD-326|SRR11148753,Ground Control
5,GSM5737178,0.9987607002258301,GSE190986,In vivo partial reprogramming alters manifestation of age-associated molecular changes in aging mice,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,,,,578820,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/01/11,180,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190986/,,,,,OSD-326|SRR11148753,Ground Control
6,GSM3618998,0.9987446069717407,GSE126962,Circadian transcriptome in mouse skeletal muscle after exercise in the early rest versus active phase,,,"We performed the circadian transcriptome analysis using the skeletal muscle from sedentary and exercised mice either in the early rest phase (ZT3) or in the early active phase (ZT15). By the combination with circadian transcriptomic and metabolomic analysis, we revealed time-of-day-dependent remodeling of circadian muscular metabolic pathways involved in glucose and glycerol metabolism after exercise. We found that only exercise in the early active phase elevates the levels of genes encoding glycolytic enzymes followed by the activation of fatty acid oxidation, branched-chain amino acid catabolism and ketogenesis/ketosis. This study demonstrates that time-of-day is a critical factor to modulate the impact of exercise on metabolic pathways within skeletal muscle.","Skeletal muscles from sedentary (sham-exercise) mice and mice subjected to acute treadmill exercise either in the early rest phase (ZT3) or in the early active phase (ZT15) were harvested after 0, 4, 8, 12, 16, and 20 hours after exercise or sham-exercise treatment.",31006592,,,236080,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/01,140,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126962/,Time of Exercise Specifies the Impact on Muscle Metabolic Pathways and Systemic Energy Homeostasis.,Cell metabolism,2019 Jul 2,10.1016/j.cmet.2019.03.013,OSD-326|SRR11148753,Ground Control
7,GSM3738786,0.9987367391586304,GSE130447,Differential response to rotator cuff tear in C57BL/6J mice and MRL/MpJ mice,,,"We report RNA sequencing data from the infraspinatus muscles of 3-month old male C57BL/6J (Jackson Labs stock 000664) or MRL/MpJ mice (Jackson Labs stock 000486). Mice underwent a full-thickness infraspinatus tenectomy and denervation, and four weeks later muscles were collected for analysis. Comparisons are made to control male mice of the same strains who did not undergo infraspinatus tenectomy and denervation.",Differential expression of mRNAs were evaluated between the infraspinatus muscles of C57BL/6J and MRL/MpJ mice that were either subjected to a infraspinatus tenectomy and denervation or who were unoperated controls.,31696955,,,254208,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/09/26,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130447/,The MRL/MpJ Mouse Strain Is Not Protected From Muscle Atrophy and Weakness After Rotator Cuff Tear.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2020 Apr,10.1002/jor.24516,OSD-326|SRR11148753,Ground Control
8,GSM3618886,0.9987258315086365,GSE126962,Circadian transcriptome in mouse skeletal muscle after exercise in the early rest versus active phase,,,"We performed the circadian transcriptome analysis using the skeletal muscle from sedentary and exercised mice either in the early rest phase (ZT3) or in the early active phase (ZT15). By the combination with circadian transcriptomic and metabolomic analysis, we revealed time-of-day-dependent remodeling of circadian muscular metabolic pathways involved in glucose and glycerol metabolism after exercise. We found that only exercise in the early active phase elevates the levels of genes encoding glycolytic enzymes followed by the activation of fatty acid oxidation, branched-chain amino acid catabolism and ketogenesis/ketosis. This study demonstrates that time-of-day is a critical factor to modulate the impact of exercise on metabolic pathways within skeletal muscle.","Skeletal muscles from sedentary (sham-exercise) mice and mice subjected to acute treadmill exercise either in the early rest phase (ZT3) or in the early active phase (ZT15) were harvested after 0, 4, 8, 12, 16, and 20 hours after exercise or sham-exercise treatment.",31006592,,,235968,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/01,140,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126962/,Time of Exercise Specifies the Impact on Muscle Metabolic Pathways and Systemic Energy Homeostasis.,Cell metabolism,2019 Jul 2,10.1016/j.cmet.2019.03.013,OSD-326|SRR11148753,Ground Control
9,GSM3618969,0.9987190961837769,GSE126962,Circadian transcriptome in mouse skeletal muscle after exercise in the early rest versus active phase,,,"We performed the circadian transcriptome analysis using the skeletal muscle from sedentary and exercised mice either in the early rest phase (ZT3) or in the early active phase (ZT15). By the combination with circadian transcriptomic and metabolomic analysis, we revealed time-of-day-dependent remodeling of circadian muscular metabolic pathways involved in glucose and glycerol metabolism after exercise. We found that only exercise in the early active phase elevates the levels of genes encoding glycolytic enzymes followed by the activation of fatty acid oxidation, branched-chain amino acid catabolism and ketogenesis/ketosis. This study demonstrates that time-of-day is a critical factor to modulate the impact of exercise on metabolic pathways within skeletal muscle.","Skeletal muscles from sedentary (sham-exercise) mice and mice subjected to acute treadmill exercise either in the early rest phase (ZT3) or in the early active phase (ZT15) were harvested after 0, 4, 8, 12, 16, and 20 hours after exercise or sham-exercise treatment.",31006592,,,236051,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/04/01,140,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126962/,Time of Exercise Specifies the Impact on Muscle Metabolic Pathways and Systemic Energy Homeostasis.,Cell metabolism,2019 Jul 2,10.1016/j.cmet.2019.03.013,OSD-326|SRR11148753,Ground Control
