gsm,score,gse,title,source_name,characteristics,tissue,species,geo_summary,geo_design,pubmed_ids,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython
GSM6431234,0.9953399896621704,GSE210492,"posterior eyecup, Wt, 9 months, 3-4",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 9 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671373,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,Complement factor B is critical for sub-RPE deposit accumulation in a model of Doyne honeycomb retinal dystrophy with features of age-related macular degeneration.,Human molecular genetics,2023 Jan 6,10.1093/hmg/ddac187
GSM6431272,0.9945968389511108,GSE210492,"posterior eyecup, Efemp1ki/ki, 17 months, 8-4",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Efemp1ki/ki,treatment: none,time: 17 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671411,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,Complement factor B is critical for sub-RPE deposit accumulation in a model of Doyne honeycomb retinal dystrophy with features of age-related macular degeneration.,Human molecular genetics,2023 Jan 6,10.1093/hmg/ddac187
GSM6431263,0.991585910320282,GSE210492,"posterior eyecup, Wt, 17 months, 7-2",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 17 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671402,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,Complement factor B is critical for sub-RPE deposit accumulation in a model of Doyne honeycomb retinal dystrophy with features of age-related macular degeneration.,Human molecular genetics,2023 Jan 6,10.1093/hmg/ddac187
GSM2843660,0.9915436506271362,GSE106591,miR-211-KO rep1,Whole eye (after removal of the lens and cornea),"tissue: whole eye including retina, RPE, Choroid, sclera and ciliary body, whereas the lens and cornea were removed.,genotype: miR-211-KO,background strain: C57BL/6",Eye,Mus musculus,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.","Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx.",29209045,136560,15103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/03/01,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106591/,MiR-211 is essential for adult cone photoreceptor maintenance and visual function.,Scientific reports,2017 Dec 5,10.1038/s41598-017-17331-z
GSM2843655,0.9912039637565613,GSE106591,WT rep1,Whole eye (after removal of the lens and cornea),"tissue: whole eye including retina, RPE, Choroid, sclera and ciliary body, whereas the lens and cornea were removed.,genotype: wild type,background strain: C57BL/6",Eye,Mus musculus,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.","Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx.",29209045,136555,15103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/03/01,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106591/,MiR-211 is essential for adult cone photoreceptor maintenance and visual function.,Scientific reports,2017 Dec 5,10.1038/s41598-017-17331-z
GSM6431262,0.9907982349395752,GSE210492,"posterior eyecup, Wt, 17 months, 7-1",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 17 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671401,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,Complement factor B is critical for sub-RPE deposit accumulation in a model of Doyne honeycomb retinal dystrophy with features of age-related macular degeneration.,Human molecular genetics,2023 Jan 6,10.1093/hmg/ddac187
GSM2843661,0.9904113411903381,GSE106591,miR-211-KO rep2,Whole eye (after removal of the lens and cornea),"tissue: whole eye including retina, RPE, Choroid, sclera and ciliary body, whereas the lens and cornea were removed.,genotype: miR-211-KO,background strain: C57BL/6",Eye,Mus musculus,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.","Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx.",29209045,136561,15103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/03/01,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106591/,MiR-211 is essential for adult cone photoreceptor maintenance and visual function.,Scientific reports,2017 Dec 5,10.1038/s41598-017-17331-z
GSM4256053,0.9899494647979736,GSE143281,P30 CTL1,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330778,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM6204794,0.9887155890464783,GSE205070,"RPE, MertkOV1, P25, Biol rep 6",RPE,"tissue: RPE,strain: C57BL/6J,cell type: epithelial,genotype: Mertk knockout version 1,treatment: none, direct ex-vivo use",Eye,Mus musculus,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.","We performed gene expression profiling analysis using data obtained from RNA-sequencing of bone-marrow-derived macrophages (BMDMs) and retinal pigment epithelial (RPE) cells from C57BL/6, Mertk-/-V1, Mertk-/-V2 and Mertk-/-V3 mice.",35969037;36662852,650613,24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/26,30,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205070/,,,,
GSM2843656,0.9884262681007385,GSE106591,WT rep2,Whole eye (after removal of the lens and cornea),"tissue: whole eye including retina, RPE, Choroid, sclera and ciliary body, whereas the lens and cornea were removed.,genotype: wild type,background strain: C57BL/6",Eye,Mus musculus,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.","Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx.",29209045,136556,15103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/03/01,11,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106591/,MiR-211 is essential for adult cone photoreceptor maintenance and visual function.,Scientific reports,2017 Dec 5,10.1038/s41598-017-17331-z
