score,geo_accession,global_index,shard_file,row_in_shard
0.99701977,GSM6431263,671402,batch_00033.parquet,11402
0.9958381,GSM6204794,650613,batch_00032.parquet,10613
0.99572784,GSM6431262,671401,batch_00033.parquet,11401
0.99560404,GSM6431234,671373,batch_00033.parquet,11373
0.9954107,GSM4256053,330778,batch_00016.parquet,10778
0.9953146,GSM6204793,650612,batch_00032.parquet,10612
0.99522847,GSM3552978,230241,batch_00011.parquet,10241
0.9952122,GSM2349280,78535,batch_00003.parquet,18535
0.99513745,GSM4256054,330779,batch_00016.parquet,10779
0.99501824,GSM6204798,650617,batch_00032.parquet,10617
