,gsm,gse,geo_summary,spaceflight
0,GSM5043457,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
1,GSM5043461,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
2,GSM5043440,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
3,GSM5043450,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
4,GSM5043454,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
5,GSM5043447,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
6,GSM5043430,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
7,GSM5043436,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
8,GSM5043443,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
9,GSM5043478,GSE165565,"For their remarkable biomimetic properties implying strong modulation of the intracellular and extracellular redox state, cerium oxide nanoparticles (also termed “nanoceria”) were hypothesized to exert a protective role against oxidative stress associated to the harsh environmental conditions of spaceflight, characterized by microgravity and highly energetic radiations. Nanoparticles were supplied to proliferating C2C12 mouse skeletal muscle cells under different gravity and radiation levels (microgravity+cosmic radiations or Earth gravity+cosmic radiations on board the International Space Station; Earth gravity on ground). Biological responses were thus investigated at a transcriptional level by RNA next-generation sequencing. Lists of differentially expressed genes (DEGs) were generated and intersected by taking into consideration relevant comparisons, which led to the observation of prevailing effects of the space environment over those induced by nanoceria, possibly due to its administration during spaceflight. In space, up-regulation of transcription was slightly preponderant over down-regulation, and it implied involvement of intracellular compartments, with the majority of DEGs being consistently over- or under-expressed whenever present. Cosmic radiations regulated a higher number of DEGs than microgravity and seemed to promote increased cellular catabolism. By taking into consideration space physical stressors alone, microgravity and cosmic radiations appeared to have opposite effects at transcriptional level despite partial sharing of molecular pathways. Interestingly, gene ontology denoted some enrichment in terms related to vision, when only effects of radiation were assessed. The regulation of mitochondrial uncoupling protein 2 in space-relevant samples suggests perturbation of the intracellular redox homeostasis, and leaves open opportunities to antioxidant treatment for oxidative stress reduction in harsh environments.",Space Flight
