,gsm,gse,geo_summary,spaceflight
0,GSM3825539,GSE131894,This SuperSeries is composed of the SubSeries listed below.,Basal Control
1,GSM3825540,GSE131894,This SuperSeries is composed of the SubSeries listed below.,Basal Control
2,GSM7074448,GSE226397,"Differentiation is critical for epithelial cell fate decisions, but the signals involved remain unclear. The kidney proximal tubule (PT) cells reabsorb disulphide-rich proteins through endocytosis, generating cystine via lysosomal proteolysis. Here we report that defective cystine mobilization from lysosomes through cystinosin (CTNS), which is mutated in cystinosis, diverts PT cells towards growth and proliferation, disrupting their functions. Mechanistically, lysosomal cystine storage stimulates Ragulator-Rag GTPase-dependent recruitment of mechanistic target of Rapamycin complex 1 (mTORC1) and its constitutive activation. Re-introduction of CTNS restores nutrient-dependent regulation of mTORC1 in knockout cells, whereas cell-permeant analogues of L-cystine, accumulating within lysosomes, render wild-type cells resistant to nutrient withdrawal. Therapeutic mTORC1 inhibition corrects lysosome and differentiation downstream of cystine storage, and phenotypes in a zebrafish model of cystinosis. Thus, cystine serves as a lysosomal signal that tailors mTORC1 signaling and metabolism to direct epithelial cell fate decisions. These results identify mechanisms and therapeutic targets for dysregulated homeostasis in cystinosis.",Basal Control
3,GSM6321564,GSE207865,"RNA sequencing of mouse liver and kidney. UMHET pups were treated with diet containing encapsulated rapamycin or encapsulating material as a control from birth to 45 days of age, and tissues were collected at 2, 20-22 and 27-29 months of age from both males and females, and 3-5 samples per age, sex and treatment were sequenced.",Basal Control
4,GSM6321554,GSE207865,"RNA sequencing of mouse liver and kidney. UMHET pups were treated with diet containing encapsulated rapamycin or encapsulating material as a control from birth to 45 days of age, and tissues were collected at 2, 20-22 and 27-29 months of age from both males and females, and 3-5 samples per age, sex and treatment were sequenced.",Basal Control
5,GSM3431533,GSE121330,"The kidney is an excellent model for studying organ aging, but little is known about the molecular changes that take place during the aging process. In this article we measured mRNA expression and protein expression in a large cohort of Diversity Outbred mice at 6, 12, and 18 months of age, and studied the relationship between the changes we observe in mRNA and protein expression as a function of age. We observed enrichments of specific pathways including those that were previously observed to have significant changes with age at the mRNA level, and here we also identified enriched pathways at the protein level. Our analysis of the direction of change in mRNA and protein levels with age at the total population level revealed distinct functional groups that have either concordant or discordant changes in expression levels. The age-interactive quantitative trait loci (QTL) analysis of mRNA (eQTL) and protein (pQTL) revealed many distantly regulated loci as opposed to the many locally regulated eQTL and pQTL observed without age-interaction. From this, we found a locus on chromosome 12 and chromosome 15 to regulate many age-interactive eQTL and pQTL respectively. Overall, our findings demonstrate that the changes with age in the kidney at the protein level are distinctly different from the changes at the mRNA level and are not mediated by mRNA expression.",Basal Control
6,GSM3814862,GSE131735,"Besides the truncal VHL mutations, ccRCC is characterized by upregulated MTOR signals from both preclinical and clinical studies. To understand how upregulated MTOR signals cooperate with VHL loss in promoting kidney tumorigenesis, we generated kidney-specific deletion of Vhl and Tsc1 (Vhl;Tsc1 cDKO) in mice. The mice showed decreased life span with maximal age of 11 weeks, bilateral polycystic kidney diseases from ~3 weeks and multifocal solid renal cell carcinoma with eosinophilic cytoplasm and grade 2-3 from 7 weeks old. The mouse tumors resemble histology of the human kidney tumors with VHL and TSC1 mutations. To understand the mechanism of how Tsc1 loss cooperates with Vhl loss in promoting tumorigenesis, we performed transcriptomic, metabolomic and immunohistochemical profilings of renal cortices from age-matched wild-type, Vhl  or Tsc1  single knockout, and Vhl;Tsc1 cDKO mice. Tsc1 loss cooperates with Vhl loss by augmenting the HIF1 transcriptional output, as well as altering the glutamine/glutamate metabolism, urea cycle, glycogen metabolism, and activating NRF2 signaling pathways which reprogram the cells to counteract the high oxidative stress associated with the proliferation. Our study reports a ccRCC mouse model recapitulating human ccRCC with same genetic background, provides mechanistic insights concerning cooperation between upregulated mTORC1 signals and VHL loss, generates in vivo reagents for studying ccRCC, and implicates potential clinical values.",Basal Control
7,GSM6085221,GSE201969,"We designed a synthetic biology circuit encoding both an EGFR-targeting peptide (GE11) and an EGFR siRNA under the control of the cytomegalovirus (CMV) promoter. After uptake by mouse liver cells via intravenous injection, this genetic circuit can reprogram the liver cells to produce and self-assemble EGFR siRNAs into secretory small extracellular vesicles (sEVs) tagged with the GE11 peptide, after which the siRNA-encapsulating sEVs are further transported via the blood circulation and guided by the GE11 peptide to EGFR-positive tumour cells for NSCLC therapy. RNA sequencing-based transcriptomic profiling confirmed the safety and low off-target activity of in vivo self-assembled EGFR siRNAs.",Basal Control
8,GSM3431549,GSE121330,"The kidney is an excellent model for studying organ aging, but little is known about the molecular changes that take place during the aging process. In this article we measured mRNA expression and protein expression in a large cohort of Diversity Outbred mice at 6, 12, and 18 months of age, and studied the relationship between the changes we observe in mRNA and protein expression as a function of age. We observed enrichments of specific pathways including those that were previously observed to have significant changes with age at the mRNA level, and here we also identified enriched pathways at the protein level. Our analysis of the direction of change in mRNA and protein levels with age at the total population level revealed distinct functional groups that have either concordant or discordant changes in expression levels. The age-interactive quantitative trait loci (QTL) analysis of mRNA (eQTL) and protein (pQTL) revealed many distantly regulated loci as opposed to the many locally regulated eQTL and pQTL observed without age-interaction. From this, we found a locus on chromosome 12 and chromosome 15 to regulate many age-interactive eQTL and pQTL respectively. Overall, our findings demonstrate that the changes with age in the kidney at the protein level are distinctly different from the changes at the mRNA level and are not mediated by mRNA expression.",Basal Control
9,GSM4742424,GSE156692,"RNA-seq and DHS mapping in hybrid mouse kidney, liver, lung, and B cells",Basal Control
10,GSM3825580,GSE131894,This SuperSeries is composed of the SubSeries listed below.,Ground Control
11,GSM5646512,GSE186367,"Purpose: Next-generation sequencing (NGS) technology was used to map expression profiles of effector (spleen) and key target tissues (kidney and brain) in mouse model of Systemic Lupus Erythematosus (SLE). Methods: Total RNA was extracted from total brain, total kidney and total spleen using Trizol and mRNA libraries were generated using the Illumina TruSeq Sample Preparation kit v2. Paired-end 37-bp mRNA sequencing was performed on Illumina HiSeq2000 platform. Quality of sequencing was assessed using FastQC software. Raw reads in fastq format were collected and aligned to the mouse genome (mm10 version) using STAR 2.6 algorithm. Gene quantification was performed using HTSeq and differential expression analysis was performed using edgeR package. Results: We defined kidney-specific molecular signatures of the murine lupus transcriptome that mirrors nephritis-specific transcriptome alterations in human SLE. Conclusions: By the use of the mouse kidney-specific transcriptome and through training of a large whole-blood RNA-sequencing dataset of SLE patients, we developed and validated an algorithm that predicts patients with active LN from SLE patients without LN and suggest vigilance in the monitoring of these patients and potential enrollment in LN prevention studies.",Ground Control
12,GSM3825571,GSE131894,This SuperSeries is composed of the SubSeries listed below.,Ground Control
13,GSM5737009,GSE190986,This SuperSeries is composed of the SubSeries listed below.,Ground Control
