Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM4052408,0.9905232191085817,GSE136593,RNA sequencing of aortic tissue of Klotho knock-out mice treated with a minimal and a high magnesium diet,,"strain: B6.129P2-Apoetm1Unc/J,genotype: Apoe-/-,treatment: Saline,tissue: Aortic Endothelium","Klotho knock-out mice are an important model for CKD-induced calcification. In CKD, serum magnesium (Mg2+) inversely correlates with vascular calcification. This study aims to determine the effects of Mg2+ on aortic calcification in Klotho knock-out mice. Klotho knock-out mice were treated with either a minimal or a high Mg2+ diet from birth. After eight weeks, serum biochemistry was studied and organs were harvested. Protective effects of Mg2+ were characterized by RNA-sequencing of aortic tissue. Micro-CT analysis was performed to study bone integrity. High Mg2+ diet prevented vascular calcification and reduced aortic gene expression of Runx2 and matrix Gla protein, demonstrating the protective effect on pro-osteogenic signaling. Differential expression of inflammation and extracellular matrix remodeling genes accompany the beneficial effects of Mg2+ on calcification. High dietary Mg2+ did not affect serum parathyroid hormone, vitamin D3 and calcium. High Mg2+ intake prevented calcification despite increasing fibroblast growth factor-23 and phosphate concentration in knock-out mice. In addition, mice on the high Mg2+ diet had a 20% reduced femoral bone mineral density and increased osteoid formation indicating osteomalacia, while osteoclast activity was decreased in Klotho knock-out mice. In Saos-2 osteoblasts, Mg2+ supplementation reduced mineralization independent of osteoblastic matrix production, alkaline phosphatase activity and maturation markers alpha-1 type-I collagen and sclerostin. In conclusion, high dietary Mg2+ prevents calcification in Klotho knock-out mice. These effects are potentially mediated by reduction of inflammatory and extracellular matrix remodeling pathways in the aorta. Mg2+ treatment is promising to prevent vascular calcification, but the risk for osteomalacia should be considered.","Both wild-type (n=6 for each diet) and Klotho knock-out (n=6 for each diet) mice were treated with either a minimal (0.05% w/w) or a high magnesium diet (0.48% w/w) and treated for 8 weeks from brith to ensure maximal exposure. After 8 weeks the mice were sacrificed and the aorta was harvested, cleaned and snap-frozen in liquid nitrogen. Samples were homogenized in TRIreagent for RNA isolation and RNA was sequenced at BaseClear Leiden B.V. The Netherlands. Wild-type mice on a minimal magnesium diet served as control group for the analysis.",31866113.0,,,291495,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136593/,Magnesium prevents vascular calcification in Klotho deficiency.,Kidney international,2020 Mar,10.1016/j.kint.2019.09.034,Ground Control
1,GSM4052413,0.9897015690803528,GSE136593,RNA sequencing of aortic tissue of Klotho knock-out mice treated with a minimal and a high magnesium diet,,"strain: B6.129P2-Apoetm1Unc/J,genotype: Apoe-/-,treatment: HDL + LNA92a + LNA489,tissue: Aortic Endothelium","Klotho knock-out mice are an important model for CKD-induced calcification. In CKD, serum magnesium (Mg2+) inversely correlates with vascular calcification. This study aims to determine the effects of Mg2+ on aortic calcification in Klotho knock-out mice. Klotho knock-out mice were treated with either a minimal or a high Mg2+ diet from birth. After eight weeks, serum biochemistry was studied and organs were harvested. Protective effects of Mg2+ were characterized by RNA-sequencing of aortic tissue. Micro-CT analysis was performed to study bone integrity. High Mg2+ diet prevented vascular calcification and reduced aortic gene expression of Runx2 and matrix Gla protein, demonstrating the protective effect on pro-osteogenic signaling. Differential expression of inflammation and extracellular matrix remodeling genes accompany the beneficial effects of Mg2+ on calcification. High dietary Mg2+ did not affect serum parathyroid hormone, vitamin D3 and calcium. High Mg2+ intake prevented calcification despite increasing fibroblast growth factor-23 and phosphate concentration in knock-out mice. In addition, mice on the high Mg2+ diet had a 20% reduced femoral bone mineral density and increased osteoid formation indicating osteomalacia, while osteoclast activity was decreased in Klotho knock-out mice. In Saos-2 osteoblasts, Mg2+ supplementation reduced mineralization independent of osteoblastic matrix production, alkaline phosphatase activity and maturation markers alpha-1 type-I collagen and sclerostin. In conclusion, high dietary Mg2+ prevents calcification in Klotho knock-out mice. These effects are potentially mediated by reduction of inflammatory and extracellular matrix remodeling pathways in the aorta. Mg2+ treatment is promising to prevent vascular calcification, but the risk for osteomalacia should be considered.","Both wild-type (n=6 for each diet) and Klotho knock-out (n=6 for each diet) mice were treated with either a minimal (0.05% w/w) or a high magnesium diet (0.48% w/w) and treated for 8 weeks from brith to ensure maximal exposure. After 8 weeks the mice were sacrificed and the aorta was harvested, cleaned and snap-frozen in liquid nitrogen. Samples were homogenized in TRIreagent for RNA isolation and RNA was sequenced at BaseClear Leiden B.V. The Netherlands. Wild-type mice on a minimal magnesium diet served as control group for the analysis.",31866113.0,,,291500,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136593/,Magnesium prevents vascular calcification in Klotho deficiency.,Kidney international,2020 Mar,10.1016/j.kint.2019.09.034,Ground Control
2,GSM4052407,0.9894683361053468,GSE136593,RNA sequencing of aortic tissue of Klotho knock-out mice treated with a minimal and a high magnesium diet,,"age: 8 weeks post natal,strain: C57/BL6,genotype: Klotho-/-,tissue: Aorta,treatment diet: High magnesium","Klotho knock-out mice are an important model for CKD-induced calcification. In CKD, serum magnesium (Mg2+) inversely correlates with vascular calcification. This study aims to determine the effects of Mg2+ on aortic calcification in Klotho knock-out mice. Klotho knock-out mice were treated with either a minimal or a high Mg2+ diet from birth. After eight weeks, serum biochemistry was studied and organs were harvested. Protective effects of Mg2+ were characterized by RNA-sequencing of aortic tissue. Micro-CT analysis was performed to study bone integrity. High Mg2+ diet prevented vascular calcification and reduced aortic gene expression of Runx2 and matrix Gla protein, demonstrating the protective effect on pro-osteogenic signaling. Differential expression of inflammation and extracellular matrix remodeling genes accompany the beneficial effects of Mg2+ on calcification. High dietary Mg2+ did not affect serum parathyroid hormone, vitamin D3 and calcium. High Mg2+ intake prevented calcification despite increasing fibroblast growth factor-23 and phosphate concentration in knock-out mice. In addition, mice on the high Mg2+ diet had a 20% reduced femoral bone mineral density and increased osteoid formation indicating osteomalacia, while osteoclast activity was decreased in Klotho knock-out mice. In Saos-2 osteoblasts, Mg2+ supplementation reduced mineralization independent of osteoblastic matrix production, alkaline phosphatase activity and maturation markers alpha-1 type-I collagen and sclerostin. In conclusion, high dietary Mg2+ prevents calcification in Klotho knock-out mice. These effects are potentially mediated by reduction of inflammatory and extracellular matrix remodeling pathways in the aorta. Mg2+ treatment is promising to prevent vascular calcification, but the risk for osteomalacia should be considered.","Both wild-type (n=6 for each diet) and Klotho knock-out (n=6 for each diet) mice were treated with either a minimal (0.05% w/w) or a high magnesium diet (0.48% w/w) and treated for 8 weeks from brith to ensure maximal exposure. After 8 weeks the mice were sacrificed and the aorta was harvested, cleaned and snap-frozen in liquid nitrogen. Samples were homogenized in TRIreagent for RNA isolation and RNA was sequenced at BaseClear Leiden B.V. The Netherlands. Wild-type mice on a minimal magnesium diet served as control group for the analysis.",31866113.0,,,291494,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136593/,Magnesium prevents vascular calcification in Klotho deficiency.,Kidney international,2020 Mar,10.1016/j.kint.2019.09.034,Ground Control
3,GSM7009984,0.9894428253173828,GSE224023,Aldh1a2+ fibroblastic reticular cells regulate lymphocyte recruitment in omental milky spots,,"age: 8 weeks post natal,strain: C57/BL6,genotype: Klotho-/-,tissue: Aorta,treatment diet: Minimal magnesium","Milky spots, lymphoid clusters present in visceral adipose tissue omentum, play central roles in the regulation of abdominal immunity. Milky spots exhibit hybrid nature between secondary lymph organs and ectopic lymphoid tissues, yet the mechanism of their development and maturation is poorly understood. Here, we identified a subset of fibroblastic reticular cells (FRCs) that are uniquely present in omental milky spots. These FRCs were characterized by the expression of retinoic acid converting enzyme, Aldh1a2, and endothelial cell marker, Tie2, in addition to canonical FRC-associated genes. Diphtheria toxin-mediated ablation of Aldh1a2+ FRCs resulted in the alteration in milky spot structure with a significant reduction in size and cellularity. Mechanistically, Aldh1a2+ FRCs regulated the display of chemokine CXCL12 on high endothelial venules (HEVs), which recruit blood-borne lymphocytes from circulation. We further found that Aldh1a2+ FRCs are required for the maintenance of peritoneal lymphocyte composition. These results illustrate the homeostatic roles of FRCs in the formation of non-classical lymphoid tissues.",RNA from whole omenta of WT and Postn-DTR mice at 5 days post DT injection was analyzed by RNA sequencing.,36880532.0,,,732496,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/14,2,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224023/,Aldh1a2 + fibroblastic reticular cells regulate lymphocyte recruitment in omental milky spots.,The Journal of experimental medicine,2023 May 1,10.1084/jem.20221813,Ground Control
4,GSM3391965,0.9892570972442628,GSE120038,Effect of miR-92a-3p and/or miR-489-3p inhibition on aorta endothelium of Apoe-/-;5/6Nx,,"age: 8 weeks post natal,strain: C57/BL6,genotype: Klotho-/-,tissue: Aorta,treatment diet: Minimal magnesium",The role of endothelial miR-92a-3p and miR-489-3p in CKD-associated atherosclerosis was examined by mRNA expression analysis in Apoe-/- mice with 5/6 nephrectomy treated with locked-nucleic acid (LNA) inhibitors complexed with high-density lipoprotein (HDL).,"RNA sequencing of aortic endothelial cell total RNA from Apoe-/- (B6.129P2-Apoetm1Unc/J) with 5/6 nephrectomy for 7 weeks and one week after treatment with saline, HDL, HDL + LNA92a, HDL + LNA489, or HDL + LNA92a + LNA489. Surgery was performed on 9 week old female mice maintained on regular chow diet. The mice recieved a single retro-orbital treatment 7 weeks post surgery and were sacrificed 1 week post treatment. The aortic endothelium was sheared to collect total RNA, which was sequenced with 4 biological replicates per group.",30731284.0,,,198518,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/03/01,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120038/,Dual inhibition of endothelial miR-92a-3p and miR-489-3p reduces renal injury-associated atherosclerosis.,Atherosclerosis,2019 Mar,10.1016/j.atherosclerosis.2019.01.023,Ground Control
5,GSM7009983,0.9892515540122986,GSE224023,Aldh1a2+ fibroblastic reticular cells regulate lymphocyte recruitment in omental milky spots,,"age: 8 weeks post natal,strain: C57/BL6,genotype: Klotho-/-,tissue: Aorta,treatment diet: Minimal magnesium","Milky spots, lymphoid clusters present in visceral adipose tissue omentum, play central roles in the regulation of abdominal immunity. Milky spots exhibit hybrid nature between secondary lymph organs and ectopic lymphoid tissues, yet the mechanism of their development and maturation is poorly understood. Here, we identified a subset of fibroblastic reticular cells (FRCs) that are uniquely present in omental milky spots. These FRCs were characterized by the expression of retinoic acid converting enzyme, Aldh1a2, and endothelial cell marker, Tie2, in addition to canonical FRC-associated genes. Diphtheria toxin-mediated ablation of Aldh1a2+ FRCs resulted in the alteration in milky spot structure with a significant reduction in size and cellularity. Mechanistically, Aldh1a2+ FRCs regulated the display of chemokine CXCL12 on high endothelial venules (HEVs), which recruit blood-borne lymphocytes from circulation. We further found that Aldh1a2+ FRCs are required for the maintenance of peritoneal lymphocyte composition. These results illustrate the homeostatic roles of FRCs in the formation of non-classical lymphoid tissues.",RNA from whole omenta of WT and Postn-DTR mice at 5 days post DT injection was analyzed by RNA sequencing.,36880532.0,,,732495,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/14,2,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224023/,Aldh1a2 + fibroblastic reticular cells regulate lymphocyte recruitment in omental milky spots.,The Journal of experimental medicine,2023 May 1,10.1084/jem.20221813,Ground Control
6,GSM5012177,0.9890303611755372,GSE164494,Loss of Rab22a prevents Angiotensin II-induced Hypertension and vascular dysfunction by inhibiting AT1R recyling,,"strain: C57BL/6J,genotype: WT,tissue: Heart,age: Old (22 months),diet: Long-term dietary restriction,Sex: Female","The goals of this study is to compare the differently expressed genes in abdominal aorta of Rab22a KO mice and Rab22a WT mice with or without Angiotensin II treatment for 14 days at the concentration of 500ng/kg/min.The mice (n=20) were randomly divided into 4 groups:WT+AngII,WT+NS,KO+AngII,KO+NS (n = 5 for each group). Mice in WT+NS and KO+NS groups were infused with saline or 500 ng/kg/min of WT+AngII and KO+AngII respectively. Then the abdominal aorta were used to identify differentially expressed genes among different groups.","RNA sequencing was performed with abdominal aorta of  mice in 4 groups (WT+AngII,WT+NS,KO+AngII,KO+NS,n = 5 for each group) to identify the differently expressed genes and related pathway.",,,,454336,GPL21273,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/01/10,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164494/,,,,,Ground Control
7,GSM3391950,0.9887759685516356,GSE120038,Effect of miR-92a-3p and/or miR-489-3p inhibition on aorta endothelium of Apoe-/-;5/6Nx,,"strain: C57BL/6,tissue: abdominal aorta,genotype: Rab22a KO,treatment: Angiotensin-II,group: KO+AngII4",The role of endothelial miR-92a-3p and miR-489-3p in CKD-associated atherosclerosis was examined by mRNA expression analysis in Apoe-/- mice with 5/6 nephrectomy treated with locked-nucleic acid (LNA) inhibitors complexed with high-density lipoprotein (HDL).,"RNA sequencing of aortic endothelial cell total RNA from Apoe-/- (B6.129P2-Apoetm1Unc/J) with 5/6 nephrectomy for 7 weeks and one week after treatment with saline, HDL, HDL + LNA92a, HDL + LNA489, or HDL + LNA92a + LNA489. Surgery was performed on 9 week old female mice maintained on regular chow diet. The mice recieved a single retro-orbital treatment 7 weeks post surgery and were sacrificed 1 week post treatment. The aortic endothelium was sheared to collect total RNA, which was sequenced with 4 biological replicates per group.",30731284.0,,,198503,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/03/01,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120038/,Dual inhibition of endothelial miR-92a-3p and miR-489-3p reduces renal injury-associated atherosclerosis.,Atherosclerosis,2019 Mar,10.1016/j.atherosclerosis.2019.01.023,Ground Control
8,GSM4052410,0.9886152744293212,GSE136593,RNA sequencing of aortic tissue of Klotho knock-out mice treated with a minimal and a high magnesium diet,,"agent: none,strain: C57BL/6,tag: ID8.OVA.Vegf/GFP","Klotho knock-out mice are an important model for CKD-induced calcification. In CKD, serum magnesium (Mg2+) inversely correlates with vascular calcification. This study aims to determine the effects of Mg2+ on aortic calcification in Klotho knock-out mice. Klotho knock-out mice were treated with either a minimal or a high Mg2+ diet from birth. After eight weeks, serum biochemistry was studied and organs were harvested. Protective effects of Mg2+ were characterized by RNA-sequencing of aortic tissue. Micro-CT analysis was performed to study bone integrity. High Mg2+ diet prevented vascular calcification and reduced aortic gene expression of Runx2 and matrix Gla protein, demonstrating the protective effect on pro-osteogenic signaling. Differential expression of inflammation and extracellular matrix remodeling genes accompany the beneficial effects of Mg2+ on calcification. High dietary Mg2+ did not affect serum parathyroid hormone, vitamin D3 and calcium. High Mg2+ intake prevented calcification despite increasing fibroblast growth factor-23 and phosphate concentration in knock-out mice. In addition, mice on the high Mg2+ diet had a 20% reduced femoral bone mineral density and increased osteoid formation indicating osteomalacia, while osteoclast activity was decreased in Klotho knock-out mice. In Saos-2 osteoblasts, Mg2+ supplementation reduced mineralization independent of osteoblastic matrix production, alkaline phosphatase activity and maturation markers alpha-1 type-I collagen and sclerostin. In conclusion, high dietary Mg2+ prevents calcification in Klotho knock-out mice. These effects are potentially mediated by reduction of inflammatory and extracellular matrix remodeling pathways in the aorta. Mg2+ treatment is promising to prevent vascular calcification, but the risk for osteomalacia should be considered.","Both wild-type (n=6 for each diet) and Klotho knock-out (n=6 for each diet) mice were treated with either a minimal (0.05% w/w) or a high magnesium diet (0.48% w/w) and treated for 8 weeks from brith to ensure maximal exposure. After 8 weeks the mice were sacrificed and the aorta was harvested, cleaned and snap-frozen in liquid nitrogen. Samples were homogenized in TRIreagent for RNA isolation and RNA was sequenced at BaseClear Leiden B.V. The Netherlands. Wild-type mice on a minimal magnesium diet served as control group for the analysis.",31866113.0,,,291497,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/04,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136593/,Magnesium prevents vascular calcification in Klotho deficiency.,Kidney international,2020 Mar,10.1016/j.kint.2019.09.034,Ground Control
9,GSM4960156,0.9886122941970824,GSE162803,"Stat1 activation, through systemic interferon signaling, and upregulation of innate immune system receptors drives inflammaging, that is ameliorated by dietary restriction intervention",,"agent: none,strain: C57BL/6,tag: ID8.OVA.Vegf/GFP",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,35767948.0,,,438598,GPL19057,Mus musculus,GSE,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,2022/08/25,102,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162803/,Inflammaging is driven by upregulation of innate immune receptors and systemic interferon signaling and is ameliorated by dietary restriction.,Cell reports,2022 Jun 28,10.1016/j.celrep.2022.111017,Ground Control
