score,geo_accession,global_index,shard_file,row_in_shard
0.99320877,GSM4200072,315253,batch_00015.parquet,15253
0.99276197,GSM7014081,733159,batch_00036.parquet,13159
0.9911419,GSM8196053,854721,batch_00042.parquet,14721
0.9911041,GSM8196070,854738,batch_00042.parquet,14738
0.99090886,GSM2816898,134678,batch_00006.parquet,14678
0.9903611,GSM3464183,214561,batch_00010.parquet,14561
0.9901569,GSM2816837,134619,batch_00006.parquet,14619
0.9900761,GSM2816836,134618,batch_00006.parquet,14618
0.989979,GSM2816835,134617,batch_00006.parquet,14617
0.9899435,GSM8196067,854735,batch_00042.parquet,14735
0.98985064,GSM5284604,496185,batch_00024.parquet,16185
0.9897182,GSM2816897,134677,batch_00006.parquet,14677
0.989714,GSM8196052,854720,batch_00042.parquet,14720
0.9896265,GSM7013990,733155,batch_00036.parquet,13155
0.989395,GSM8196063,854731,batch_00042.parquet,14731
0.9891784,GSM4219484,317977,batch_00015.parquet,17977
0.98916906,GSM3386299,197467,batch_00009.parquet,17467
0.9890332,GSM8196062,854730,batch_00042.parquet,14730
0.9890328,GSM8196057,854725,batch_00042.parquet,14725
0.98902106,GSM5284580,496161,batch_00024.parquet,16161
0.9890096,GSM8196066,854734,batch_00042.parquet,14734
0.9889809,GSM8196060,854728,batch_00042.parquet,14728
0.9889569,GSM2465750,95188,batch_00004.parquet,15188
0.98891175,GSM8196059,854727,batch_00042.parquet,14727
0.9888418,GSM3394055,198618,batch_00009.parquet,18618
0.9887987,GSM2465746,95184,batch_00004.parquet,15184
0.9887652,GSM5117982,472976,batch_00023.parquet,12976
0.98874366,GSM2465749,95187,batch_00004.parquet,15187
0.98865986,GSM7013994,733156,batch_00036.parquet,13156
0.98865926,GSM8196056,854724,batch_00042.parquet,14724
0.9886534,GSM3505614,216946,batch_00010.parquet,16946
0.9886383,GSM4219483,317976,batch_00015.parquet,17976
0.98863566,GSM7014827,733167,batch_00036.parquet,13167
0.98863137,GSM3608106,234954,batch_00011.parquet,14954
0.98860943,GSM1974944,53430,batch_00002.parquet,13430
0.9885398,GSM8196061,854729,batch_00042.parquet,14729
0.9884839,GSM7014799,733164,batch_00036.parquet,13164
0.9883543,GSM8196069,854737,batch_00042.parquet,14737
0.9883472,GSM5526801,534138,batch_00026.parquet,14138
0.9882858,GSM7014806,733165,batch_00036.parquet,13165
0.98824567,GSM2912572,150641,batch_00007.parquet,10641
0.98814934,GSM3048873,158360,batch_00007.parquet,18360
0.9881229,GSM5284605,496186,batch_00024.parquet,16186
0.98798347,GSM4405344,352353,batch_00017.parquet,12353
0.9879416,GSM5284581,496162,batch_00024.parquet,16162
0.98788834,GSM2465748,95186,batch_00004.parquet,15186
0.98787796,GSM3048874,158361,batch_00007.parquet,18361
0.98787564,GSM2883195,138945,batch_00006.parquet,18945
0.9878217,GSM2883194,138944,batch_00006.parquet,18944
0.98781955,GSM2465747,95185,batch_00004.parquet,15185
0.9878137,GSM4109021,296792,batch_00014.parquet,16792
0.98778254,GSM3758281,255784,batch_00012.parquet,15784
0.98765284,GSM3394058,198621,batch_00009.parquet,18621
0.98763794,GSM5117979,472973,batch_00023.parquet,12973
0.98760533,GSM5284603,496184,batch_00024.parquet,16184
0.98759836,GSM5767808,590738,batch_00029.parquet,10738
0.98756313,GSM3394060,198623,batch_00009.parquet,18623
0.98756206,GSM6808694,715584,batch_00035.parquet,15584
0.98747826,GSM6337040,657405,batch_00032.parquet,17405
0.98745,GSM4293854,334551,batch_00016.parquet,14551
0.9874332,GSM3394057,198620,batch_00009.parquet,18620
0.98742044,GSM3394061,198624,batch_00009.parquet,18624
0.9873939,GSM3758288,255791,batch_00012.parquet,15791
