geo_accession,series_id,characteristics_ch1,extract_protocol_ch1,source_name_ch1,title,species
GSM2465746,GSE93961,"cell type: epithelial cell,tissue: mammary gland,cell markers: CD200pCD200R1n,strain: FVB/N,gender: female,age: 6-8 week-old","Mouse mammary cells were dissociated from the fourth inguinal mammary glands. Lin- cell suspension was prepared using the EasySep mouse mammary enrichment kit (StemCell Technologies, Vancouver, Canada).  Epithelial cells were resuspended in HF containing Hankâs balanced salt solution (HBSS, Biological Industries) supplemented with 0.1% (v/v) Hepes (Biological Industries) and 2% (v/v) fetal bovine serum (FBS, Biological Industries) at a concentration of 107 cell/ml and incubated for 90 min on ice with fluorescent conjugated antibodies. Cell viability was tested by staining with propidium iodide (PI) (Sigma St. Louis, MO) or BD Horizon Fixable Viability Stain 450 (FVS450, BD Biosciences) according to the manufacturers' protocol. Dispersed mouse mammary cells were sorted using FACSAria II. 1000 cells 9.5Âµl of RNAsin-containing lysis buffer, incubated for 5 min at room temperature and kept at -80Â°C.,SMART-Seq V4 Ultra Low Input RNA kit",mammary gland,CD200pCD200R1n mouse 2,mouse
GSM2465747,GSE93961,"cell type: epithelial cell,tissue: mammary gland,cell markers: CD200pCD200R1n,strain: FVB/N,gender: female,age: 6-8 week-old","Mouse mammary cells were dissociated from the fourth inguinal mammary glands. Lin- cell suspension was prepared using the EasySep mouse mammary enrichment kit (StemCell Technologies, Vancouver, Canada).  Epithelial cells were resuspended in HF containing Hankâs balanced salt solution (HBSS, Biological Industries) supplemented with 0.1% (v/v) Hepes (Biological Industries) and 2% (v/v) fetal bovine serum (FBS, Biological Industries) at a concentration of 107 cell/ml and incubated for 90 min on ice with fluorescent conjugated antibodies. Cell viability was tested by staining with propidium iodide (PI) (Sigma St. Louis, MO) or BD Horizon Fixable Viability Stain 450 (FVS450, BD Biosciences) according to the manufacturers' protocol. Dispersed mouse mammary cells were sorted using FACSAria II. 1000 cells 9.5Âµl of RNAsin-containing lysis buffer, incubated for 5 min at room temperature and kept at -80Â°C.,SMART-Seq V4 Ultra Low Input RNA kit",mammary gland,CD200pCD200R1n mouse 3,mouse
GSM2465749,GSE93961,"cell type: epithelial cell,tissue: mammary gland,cell markers: CD200pCD200R1n,strain: FVB/N,gender: female,age: 6-8 week-old","Mouse mammary cells were dissociated from the fourth inguinal mammary glands. Lin- cell suspension was prepared using the EasySep mouse mammary enrichment kit (StemCell Technologies, Vancouver, Canada).  Epithelial cells were resuspended in HF containing Hankâs balanced salt solution (HBSS, Biological Industries) supplemented with 0.1% (v/v) Hepes (Biological Industries) and 2% (v/v) fetal bovine serum (FBS, Biological Industries) at a concentration of 107 cell/ml and incubated for 90 min on ice with fluorescent conjugated antibodies. Cell viability was tested by staining with propidium iodide (PI) (Sigma St. Louis, MO) or BD Horizon Fixable Viability Stain 450 (FVS450, BD Biosciences) according to the manufacturers' protocol. Dispersed mouse mammary cells were sorted using FACSAria II. 1000 cells 9.5Âµl of RNAsin-containing lysis buffer, incubated for 5 min at room temperature and kept at -80Â°C.,SMART-Seq V4 Ultra Low Input RNA kit",mammary gland,CD200pCD200R1n mouse 5,mouse
GSM2465750,GSE93961,"cell type: epithelial cell,tissue: mammary gland,cell markers: CD200pCD200R1n,strain: FVB/N,gender: female,age: 6-8 week-old","Mouse mammary cells were dissociated from the fourth inguinal mammary glands. Lin- cell suspension was prepared using the EasySep mouse mammary enrichment kit (StemCell Technologies, Vancouver, Canada).  Epithelial cells were resuspended in HF containing Hankâs balanced salt solution (HBSS, Biological Industries) supplemented with 0.1% (v/v) Hepes (Biological Industries) and 2% (v/v) fetal bovine serum (FBS, Biological Industries) at a concentration of 107 cell/ml and incubated for 90 min on ice with fluorescent conjugated antibodies. Cell viability was tested by staining with propidium iodide (PI) (Sigma St. Louis, MO) or BD Horizon Fixable Viability Stain 450 (FVS450, BD Biosciences) according to the manufacturers' protocol. Dispersed mouse mammary cells were sorted using FACSAria II. 1000 cells 9.5Âµl of RNAsin-containing lysis buffer, incubated for 5 min at room temperature and kept at -80Â°C.,SMART-Seq V4 Ultra Low Input RNA kit",mammary gland,CD200pCD200R1n mouse 6,mouse
GSM2816836,GSE105049,"genotype: Pten:beta-cat(Act.),tissue: Bone Marrow,cell type: BlastCell,treatment: Chemotherapy","1,000 cells per sample were sorted into 96-well plates with 7 ul lysis buffer containing RNase inhibitor (2 U/Î¼l) from BM. First-strand cDNA synthesis and cDNA libraries were constructed using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech) following the manufacturerâs instructions. cDNA quality was determined by Agilent high sensitivity DNA kit on Agilent 2100 BioAnalyzer (Agilent Technologies).,RNA-seq libraries were prepared using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech Nextera)",BlastCellChemo,BlastCellChemoB2,mouse
GSM2816837,GSE105049,"genotype: Pten:beta-cat(Act.),tissue: Bone Marrow,cell type: BlastCell,treatment: Chemotherapy","1,000 cells per sample were sorted into 96-well plates with 7 ul lysis buffer containing RNase inhibitor (2 U/Î¼l) from BM. First-strand cDNA synthesis and cDNA libraries were constructed using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech) following the manufacturerâs instructions. cDNA quality was determined by Agilent high sensitivity DNA kit on Agilent 2100 BioAnalyzer (Agilent Technologies).,RNA-seq libraries were prepared using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech Nextera)",BlastCellChemo,BlastCellChemoB3,mouse
GSM2816898,GSE105049,"genotype: Pten:beta-cat(Act.),tissue: Bone Marrow,cell type: LSC,treatment: [Low]DXR","1,000 cells per sample were sorted into 96-well plates with 7 ul lysis buffer containing RNase inhibitor (2 U/Î¼l) from BM. First-strand cDNA synthesis and cDNA libraries were constructed using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech) following the manufacturerâs instructions. cDNA quality was determined by Agilent high sensitivity DNA kit on Agilent 2100 BioAnalyzer (Agilent Technologies).,RNA-seq libraries were prepared using the SMARTer ultra low input RNA kit for sequencing - v3 (Clontech Nextera)",LSCLowDXR,LSCLowDXRB1,mouse
GSM3386299,GSE119884,"strain/background: BALB/c,gender: Female,tissue: Lymph node,virus: MVA SHIV,time: Day 1","Total RNA was purified using RNeasy Micro Kit (Qiagen). Standard quality control steps were included to determine total RNA quality using Agilent 2100 Bioanalyzer (RNA integrity number (RIN) >8.5; Eukaryote Total RNA Pico Kit, Agilent, USA).,Libraries were prepared on cDNA generated using SMART-Seq v4 Ultra Low Input RNA Kit. Illumina adapters were ligated using the NexteraXT DNA kit for Illumina sequencing.",Lymph node,7_MVA_SHIV_Ms2_MVA1_Day1,mouse
GSM3464183,GSE122336,"mouse strain: FVB/N,genotype: MMTV-neu202Mul,tissue: transplanted mammary tumor","Fresh mammary tumors were enzymatically digested.  Cells for single cell RNA-seq were prepared by density centrifugation using Ficoll-Paque media (GE Healthcare) followed by magnetic-activated cell sorting (Miltenyi) based separation or enrichment.,RNA libraries were prepared for sequencing using standard Illumina protocols for Nextera XT DNA sample prep kit",Tumor  infiltrating leukocytes/CD45+ cells from Ab+Cabo+ICB treated Ab+Pal resistant transplanted tumor,APRTT_AIC_TIL_Rep1,mouse
GSM3985858,GSE135096,"tissue: mammary tumor with systemic Akt2 deletion,timepoint: 3 weeks after palpable tumor devloped","Drop-seq on the single cell suspension,Nextera XT tagmentation using Illumina cat# FC-131-1096 (Drop-seq protocol)",MMTV-PyMT;Akt2 f/f ;R26Cre ERT2,Akt2_C single cell RNA-seq,mouse
