,gsm,gse,geo_summary,spaceflight
0,GSM6431263,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Ground Control
1,GSM6431262,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Ground Control
2,GSM6431234,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Ground Control
3,GSM6431272,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Ground Control
4,GSM5704653,GSE189618,Analysis of RNAs from multiple mouse tissues to find kidney-specific genes,Ground Control
5,GSM6204794,GSE205070,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.",Ground Control
6,GSM6204798,GSE205070,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.",Ground Control
7,GSM2843655,GSE106591,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.",Ground Control
8,GSM4256053,GSE143281,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.",Ground Control
9,GSM3552978,GSE124745,"We have sequenced mouse embryonic fibroblasts (MEFs) and 6 organs (testes, prostate, liver, heart, spleen, and eye) harvested from adult male wild type and Tug1 knockout (Tug1_tm1.1Vlcg) mice in a C57BL/6J/129S6 (N3-C57BL/6J, no Neo) background.  Additional sequencing was done on the testes of a Tug1 rescue mouse, which contains a doxycycline inducible allele for Tug1 (tg(Tug1)) and CAGs-rtTA3 in the Tug1 knockout background (Tug1_tmn1.1Vlcg).",Ground Control
10,GSM6431234,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Space Flight
11,GSM6431263,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Space Flight
12,GSM4256053,GSE143281,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.",Space Flight
13,GSM6204794,GSE205070,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.",Space Flight
14,GSM6431272,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Space Flight
15,GSM2843660,GSE106591,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.",Space Flight
16,GSM6431262,GSE210492,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Space Flight
17,GSM2843655,GSE106591,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.",Space Flight
18,GSM4256054,GSE143281,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.",Space Flight
19,GSM2843656,GSE106591,"Purpose: Next-generation sequencing (NGS) has revolutionized systems-based analysis of cellular pathways. The goals of this study are to compare NGS transcriptome profiling (RNA-seq) from whole eye, after removal of the lens and cornea from 1-2 month old miR-211-/- mice and compare it with wt mice Methods: Whole eye (after removal of the lens and cornea) mRNA profiles of 1-2 month old  wild-type (WT) and neural miR-211-/-mice were generated by deep sequencing, in multiple biological replicates, five for WT and six for miR-211-/- animals, using Illumina GAIIx. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) followed by ANOVA (ANOVA) and TopHat followed by Cufflinks. qRT–PCR validation was performed using TaqMan and SYBR Green assays RNA-Seq libraries were prepared from whole eye, after removal of the lens and cornea from miR-211-/- mice. Results: Each library was sequenced using 100 bp paired-end sequencing on the Illumina HiSeq 1000 system. Gene abundances from RNA-Seq data were quantified using RSEM45. Using an optimized data analysis workflow, we mapped about 30 million sequence reads per sample to the mouse genome. This approach yielded read count values for a total of 38253 mouse genes annotated in GenCode. We only considered genes that had at least 1 count per million in at least five out of 11 samples as expressed, yielding a total of 15590 genes. Next we performed differential gene expression analysis to determine the transcriptional effects of miR-211 deletion. This analysis yielded a total of 63 genes that were differentially expressed with a False Discovery Rate (FDR) <0.1 (Fig. 4). Of these, the expression levels of 61 genes were significantly decreased upon miR-211 deletion, while only 2 genes were upregulated. Conclusions: Our study represents the first detailed analysis of whole eye transcriptomes, with biologic replicates, generated by RNA-seq technology on miR-211-/-.",Space Flight
