Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM7187233,0.9997491836547852,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"strain: UM-HET3,Sex: Female,age: 6 months,tissue: Liver,intervention: 17-alpha-estradiol,dose: 14.4 ppm,intervention duration: 2 months","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775387,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
1,GSM7187217,0.9997470378875732,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"strain: C57BL/6N,Sex: male,tissue: liver,age: 25 weeks,diet: HFD,genotype: DKO","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775371,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
2,GSM7187257,0.9997197985649108,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,strain: C57BL/6,Sex: male,genotype: Fat1,treatment: EtOH","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775411,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
3,GSM7187218,0.9997121095657348,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,Sex: female,strain: BXD28/TyJ,exercise group: Sedentary","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775372,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
4,GSM6806256,0.999710202217102,GSE220520,Resolvin D1 attenuated liver injury caused by chronic ethanol and acute LPS challenge in mice,,"tissue: liver,Sex: female,strain: C57L/J,exercise group: Exercised","Alcohol-associated liver disease (ALD) is a major health problem with limited effective treatment options. Alcohol-associated hepatitis (AH) is a subset of severe ALD with a high rate of mortality due to infection, severe inflammation, and ultimately multi-organ failure. There is an urgent need for novel therapeutic approaches to alleviate the human suffering associated with this condition. Resolvin D1 (RvD1) promotes the resolution of inflammation and regulates immune responses. The current study aimed to test the therapeutic efficacy and mechanisms of RvD1-mediated effects on liver injury and inflammation in an experimental animal model that mimics severe AH in humans. Our data demonstrated that mice treated with RvD1 had attenuated liver injury and inflammation caused by EtOH and LPS exposure by limiting hepatic neutrophil accumulation and decreasing hepatic levels of pro-inflammatory cytokines. In addition, RvD1 treatment attenuated hepatic pyroptosis, an inflammatory form of cell death, via downregulation of pyroptosis-related genes such as GTPase family member b10 and guanylate binding protein 2, and reducing cleavage of caspase 11 and gasdermin-D. In vitro experiments with primary mouse hepatocytes and bone marrow-derived macrophages confirmed the effectiveness of RvD1 in the attenuation of pyroptosis. In summary, our data demonstrated that RvD1 treatment provided beneficial effects against liver injury and inflammation in an experimental animal model recapitulating features of severe AH in humans. Our results suggest that RvD1 may be a novel adjunct strategy to traditional therapeutic options for AH patients.","For the initial sequencing, a total of six conditions, with quadruplicates in each condition, were studied , including: Wild-type, pair-fed; Fat1+/-, pair-fed; Wild-type, EtOH, LPS; Fat1+/-, EtOH, LPS; Fat1+/-, EtOH, LPS + RvE1; and Fat1+/-, EtOH, LPS RvD1. An additional four conditions with triplicates in each condition were subsequently run, including Wild-type, Pair-fed, LPS; Fat1, pair-fed, LPS; Wild-type EtOH; and Fat1 EtOH.",36520060,,,715347,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/05,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE220nnn/GSE220520/,Resolvin D1 attenuated liver injury caused by chronic ethanol and acute LPS challenge in mice.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2023 Jan,10.1096/fj.202200778R,Basal Control
5,GSM7585197,0.9997085928916932,GSE224447,DNA methylation and gene expression changes in mice induced by parabiosis and recovery,,"tissue: liver,Sex: female,strain: SM/J,exercise group: Sedentary",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,37086720;37500973,,,797259,GPL32543; GPL28271; GPL24247; GPL17021,Homo sapiens; Rattus; Rattus norvegicus; Macaca mulatta; Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing; Methylation profiling by array,2023/04/21,233,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224447/,Biological age is increased by stress and restored upon recovery.,Cell metabolism,2023 May 2,10.1016/j.cmet.2023.03.015,Basal Control
6,GSM7187213,0.9997004270553588,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,Sex: female,strain: BXD44/RwwJ,exercise group: Exercised","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775367,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
7,GSM7187163,0.9997000694274902,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,Sex: female,strain: BXD44/RwwJ,exercise group: Sedentary","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775317,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
8,GSM7187216,0.9996922612190248,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,Sex: female,strain: BXD34/TyJ,exercise group: Exercised","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775370,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
9,GSM7187207,0.9996870756149292,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,"tissue: liver,Sex: female,strain: BXD34/TyJ,exercise group: Sedentary","Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775361,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,Basal Control
