Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM1213463,0.9981111884117126,GSE50068,MiR-21 is targeted by STAT5 but dispensable for mammary gland development,,"sample tag: #252,strain: 129SV::FVB/N::C57BL/6,tissue: Mammary gland,developmental stage: 2m old mice,genotype: miR21 +/+","In this study we identifies miR-21 to by under cytokine control through the transcription factor STAT5 and while miR-21 is differentially expressed during mammary gland development, miR-21 is dispensable for mammary development and lactation.",We refer to wild-type mice (+/+) as WT and to mice lacking the mir-21 (-/-) as KO mice.,,,,13273,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2013/08/22,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50068/,,,,,Vivarium Control
1,GSM5548441,0.99790757894516,GSE183000,Transcriptomic profiling of subcutaneous white adipose tissue with selective ablation of Bmal1 at ambient and cold condition,,"sample tag: #254,strain: 129SV::FVB/N::C57BL/6,tissue: Mammary gland,developmental stage: 2m old mice,genotype: miR21 +/+",Mice with beige fat-selective ablation of Bmal1 were generated by crossing Bmal1fl/fl with Prrx1-Cre transgenics. Inguinal subcutaneous adipsoe tissues were collected under ambient temperature at 220C or  cold acclimations at 10oC for two weeks.,RNA-seq analysis of the subcutaneous fat inguinal white adipose tissue (iWAT) in both ambient(22oC) and cold(10oC) conditions for the BMCtr and BMKO groups.,,,,536124,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/31,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183000/,,,,,Vivarium Control
2,GSM7224912,0.9975286722183228,GSE230472,Calorie Restriction Outperforms Bariatric Surgery in Reversing Obesity-Driven Tumor Progression in a Mouse Model of Triple Negative Breast Cancer-RNAseq,,"strain: FVB/N,tissue: Normal mammary gland,protocol: on Dox-food,genotype: Ret/-","lean control, obese, and formerly obese C57BL6N mice which underwent weight loss via low-fat diet or verticle sleeve gastrectomy were injected with E0771 cells and tumor growth was monitored",DNA was extracted from contralateral normal mammary tissue and subject to RNAseq,37698918.0,,,776278,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/12,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230472/,Calorie restriction outperforms bariatric surgery in a murine model of obesity and triple-negative breast cancer.,JCI insight,2023 Sep 12,10.1172/jci.insight.172868,Vivarium Control
3,GSM6108503,0.9974738359451294,GSE202332,"Various forms of calorie restriction, but not a nonrestricted low-fat diet, reverse obesity-associated tumor growth and lung metastasis in a mouse model of triple-negative breast cancer",,"strain: FVB/N,tissue: Normal mammary gland,protocol: on Normal-food,genotype: Ret/MTB",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,,,,636621,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2022/05/12,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202332/,,,,,Vivarium Control
4,GSM5548438,0.997410774230957,GSE183000,Transcriptomic profiling of subcutaneous white adipose tissue with selective ablation of Bmal1 at ambient and cold condition,,"strain: FVB/N,tissue: Normal mammary gland,protocol: on Normal-food,genotype: Ret/MTB",Mice with beige fat-selective ablation of Bmal1 were generated by crossing Bmal1fl/fl with Prrx1-Cre transgenics. Inguinal subcutaneous adipsoe tissues were collected under ambient temperature at 220C or  cold acclimations at 10oC for two weeks.,RNA-seq analysis of the subcutaneous fat inguinal white adipose tissue (iWAT) in both ambient(22oC) and cold(10oC) conditions for the BMCtr and BMKO groups.,,,,536121,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/31,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183000/,,,,,Vivarium Control
5,GSM5548440,0.9973911046981812,GSE183000,Transcriptomic profiling of subcutaneous white adipose tissue with selective ablation of Bmal1 at ambient and cold condition,,"strain: FVB/N,tissue: Normal mammary gland,protocol: on Normal-food,genotype: Ret/MTB",Mice with beige fat-selective ablation of Bmal1 were generated by crossing Bmal1fl/fl with Prrx1-Cre transgenics. Inguinal subcutaneous adipsoe tissues were collected under ambient temperature at 220C or  cold acclimations at 10oC for two weeks.,RNA-seq analysis of the subcutaneous fat inguinal white adipose tissue (iWAT) in both ambient(22oC) and cold(10oC) conditions for the BMCtr and BMKO groups.,,,,536123,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/31,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183000/,,,,,Vivarium Control
6,GSM3968606,0.9973890781402588,GSE134780,BubR1 allelic effects drive phenotypic heterogeneity in MVA progeria syndrome [10 month old RNA-seq],,"tissue: fat (IAT),age: 8-10 months,genotype: WT,background strain: 129Sve/C57BL/6 mix","Mosaic-variegated aneuploidy (MVA) syndrome is a rare childhood disorder characterized by biallelic BUBR1, CEP57, or TRIP13 aberrations, increased chromosome missegregation, and a broad spectrum of clinical features, including various cancers, congenital defects, and progeroid pathologies. To investigate the mechanisms underlying this disorder and its phenotypic heterogeneity, we mimicked the BUBR1L1012P mutation in mice (BubR1L1002P) and combined it with two other MVA variants, BUBR1X753 and BUBR1H, generating a truncated protein and low amounts of wildtype protein, respectively. Whereas, BubR1X753/L1002P and BubR1H/X753 mice die prematurely, BubR1H/L1002P mice are viable and exhibit many MVA features, including cancer predisposition and various progeroid phenotypes, including short lifespan, dwarfism, lipodystrophy, sarcopenia, and low cardiac stress tolerance. Strikingly, although these mice had a similar reduction in total BubR1 and spectrum of MVA phenotypes as BubR1H/H mice, several progeroid pathologies were attenuated in severity, which in skeletal muscle coincided with reduced senescence-associated secretory phenotype (SASP) complexity. Additionally, mice harboring heterozygous BUBR1 MVA variants developed mild MVA pathologies later in life, with alleles conferring unique phenotypic profiles. Together, these data demonstrate that subtle BUBR1 allelic effects contribute to disease heterogeneity in both MVA patients and heterozygous carriers of MVA mutations, independent of aneuploidy rates and BUBR1 protein levels.","Skeletal muscle (skM, gastrocnemius) and fat (IAT) from 8-10-month-old wildtype and progeroid BubR1 MVA mutant mice (BubR1H/L1002P and BubR1H/H) were collected and harvested from naturally aged mice, euthanized at 8-10 months of age. RNA was extracted from tissues and was used for RNA sequencing.",31738183.0,,,277335,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/02/04,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134780/,BubR1 allelic effects drive phenotypic heterogeneity in mosaic-variegated aneuploidy progeria syndrome.,The Journal of clinical investigation,2020 Jan 2,10.1172/JCI126863,Vivarium Control
7,GSM2221176,0.9973276257514954,GSE83897,Transcriptomes analysis of mammary tumors induced by overexpression of the Ret receptor tyrosine kinase from a new transgenic mouse model,,"strain: C57BL/6,tissue: Mammary gland,intraductally inoculated material: MatrigelÂ®,time post-inoculation: 6 weeks","Model: The activation of Ret receptor tyrosine kinase regulates mammary tumor growth, tumor-associated inflammation and metastasis. To uncover Ret’s function, we have generated a new transgenic mouse mammary tumor model, in which the human wild type Ret is expressed in the mammary epithelium of mice in a doxycycline (Dox)-inducible manner (system developed by Dr. Chosdosh). Induction of constitutive Ret expression leads to the development of mammary tumors in 60% of the mice. We have found that the Ret-induced tumors have histologic characteristics of the human DCIS. Purpose:  The goals of this study are to compare Next-generation sequencing (NGS)-derived transcriptome profiling (RNA-seq) of Ret-induced tumors to human breast cancer databases in order to determined which cancer subtype is represented by this new tumor model. Additionally, to further analyze the mechanisms underlying Ret-induced tumorigenesis, we will also examine the transcriptome by NGS: in this case, this analysis will be performed on tumors that regress upon dox-food withdrawal, in comparison to the growing tumors. We will also perform similar analysis with the hyperplastic glands, a step before of tumor development. Later, the RNA-seq differential expression data will be analyzed using pathway analysis software as Ingenuity and public available datasets as the Gene Set Enrichment Analysis (GSEA) or the Integrating Motif Response Activity Analysis (ISMARA).","Tumor or mammary tissue mRNA profiles of  bitransgenic Ret/MTB mice or control (Ret/- or MTB/-) mice were generated by deep sequencing, N=3-6, using Illumina HiSeq 2500.",,,,73343,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/30,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83897/,,,,,Vivarium Control
8,GSM7224905,0.9972792267799376,GSE230472,Calorie Restriction Outperforms Bariatric Surgery in Reversing Obesity-Driven Tumor Progression in a Mouse Model of Triple Negative Breast Cancer-RNAseq,,"tissue: ingunal white adipose tissue,age: 9 weeks,genotype: C57BL/6J,temperature: 22 deg C","lean control, obese, and formerly obese C57BL6N mice which underwent weight loss via low-fat diet or verticle sleeve gastrectomy were injected with E0771 cells and tumor growth was monitored",DNA was extracted from contralateral normal mammary tissue and subject to RNAseq,37698918.0,,,776272,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/12,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230472/,Calorie restriction outperforms bariatric surgery in a murine model of obesity and triple-negative breast cancer.,JCI insight,2023 Sep 12,10.1172/jci.insight.172868,Vivarium Control
9,GSM2221179,0.9972163438796996,GSE83897,Transcriptomes analysis of mammary tumors induced by overexpression of the Ret receptor tyrosine kinase from a new transgenic mouse model,,"tissue: Mouse mammary gland,strain/genotype: C57BL/6Jx129 WT,treatment: No treatment","Model: The activation of Ret receptor tyrosine kinase regulates mammary tumor growth, tumor-associated inflammation and metastasis. To uncover Ret’s function, we have generated a new transgenic mouse mammary tumor model, in which the human wild type Ret is expressed in the mammary epithelium of mice in a doxycycline (Dox)-inducible manner (system developed by Dr. Chosdosh). Induction of constitutive Ret expression leads to the development of mammary tumors in 60% of the mice. We have found that the Ret-induced tumors have histologic characteristics of the human DCIS. Purpose:  The goals of this study are to compare Next-generation sequencing (NGS)-derived transcriptome profiling (RNA-seq) of Ret-induced tumors to human breast cancer databases in order to determined which cancer subtype is represented by this new tumor model. Additionally, to further analyze the mechanisms underlying Ret-induced tumorigenesis, we will also examine the transcriptome by NGS: in this case, this analysis will be performed on tumors that regress upon dox-food withdrawal, in comparison to the growing tumors. We will also perform similar analysis with the hyperplastic glands, a step before of tumor development. Later, the RNA-seq differential expression data will be analyzed using pathway analysis software as Ingenuity and public available datasets as the Gene Set Enrichment Analysis (GSEA) or the Integrating Motif Response Activity Analysis (ISMARA).","Tumor or mammary tissue mRNA profiles of  bitransgenic Ret/MTB mice or control (Ret/- or MTB/-) mice were generated by deep sequencing, N=3-6, using Illumina HiSeq 2500.",,,,73346,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/30,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83897/,,,,,Vivarium Control
