Topic,Count,Name,Representation,Representative_Docs,journals
-1,32,-1_disease_expressed_modifier_macrophages,"['disease', 'expressed', 'modifier', 'macrophages', 'resistant', 'resistance', 'macrophage', 'paralog', 'onset', 'early']","['disease-associated', 'disease-resistant', 'disease-resistant']","['GSE205070', 'GSE106591', 'GSE143281', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
0,69,0_eye_female_aged_loss,"['eye', 'female', 'aged', 'loss', 'process', 'function', 'lost', 'outer', 'independent', 'with']","['eye', 'eye', 'eye']","['GSE106591', 'GSE210492', 'GSE124745', 'GSE210492', 'GSE210492', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
1,41,1_genes_eyecups_removal_coincidental,"['genes', 'eyecups', 'removal', 'coincidental', 'corpses', 'testes', 'segments', 'replicates', 'processes', 'absence']","['genes', 'genes', 'genes']","['GSE189618', 'GSE106591', 'GSE205070', 'GSE210492', 'GSE106591', 'GSE205070', 'GSE205070', 'GSE124745', 'GSE205070', 'GSE106591', 'GSE205070', 'GSE205070']"
2,33,2_mertk_r345w_doyne_ngs,"['mertk', 'r345w', 'doyne', 'ngs', 'kos', 'wheeler', 'rsem45', 'mefs', 'fdr', 'doxycycline']","['Mertk', 'Mertk', 'Mertk']","['GSE205070', 'GSE210492', 'GSE210492', 'GSE106591', 'GSE205070', 'GSE106591', 'GSE106591', 'GSE124745', 'GSE106591', 'GSE124745']"
3,32,3_retina_retinal_posterior_receptor,"['retina', 'retinal', 'posterior', 'receptor', 'pro', 'photoreceptor', 'inflammatory', 'illumina']","['retinal', 'retina', 'retina']","['GSE210492', 'GSE143281', 'GSE205070', 'GSE210492', 'GSE210492', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE106591']"
4,31,4_analysis_degeneration_study_anova,"['analysis', 'degeneration', 'study', 'anova', 'workflow', 'validation', 'samples', 'profiling', 'profiles', 'methods']","['analysis', 'analysis', 'analysis']","['GSE189618', 'GSE106591', 'GSE210492', 'GSE205070', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591']"
5,29,5_tyro3_tug1_ki_efemp1ki,"['tyro3', 'tug1', 'ki', 'efemp1ki', 'efemp1', 'tyrosine', 'chaperone', 'tg', 'taqman', 'rtta3']","['Efemp1ki/ki', 'Efemp1ki/ki', 'Efemp1ki/ki']","['GSE205070', 'GSE124745', 'GSE210492', 'GSE210492', 'GSE210492', 'GSE205070', 'GSE143281', 'GSE124745', 'GSE106591', 'GSE124745']"
6,27,6_expression_mouse_changes_cells,"['expression', 'mouse', 'changes', 'cells', 'cell', 'cancer']","['expression', 'expression', 'mouse']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE189618', 'GSE143281', 'GSE106591', 'GSE205070', 'GSE124745', 'GSE205070', 'GSE143281', 'GSE205070', 'GSE205070', 'GSE205070']"
7,26,7_biological_malattia_dystrophy_phenotypes,"['biological', 'malattia', 'dystrophy', 'phenotypes', 'pathological', 'epithelia', 'epistasis', 'apoptotic', 'qrt', 'pathways']","['dystrophy/malattia', 'dystrophy/malattia', 'dystrophy/malattia']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE210492', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE106591', 'GSE106591']"
8,24,8_data_set_models_model,"['data', 'set', 'models', 'model', 'role', 'values', 'system', 'levels', 'level']","['data', 'data', 'data']","['GSE106591', 'GSE210492', 'GSE210492', 'GSE205070', 'GSE210492', 'GSE205070', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591']"
9,24,9_gene_immunity_genome_syngeneic,"['gene', 'immunity', 'genome', 'syngeneic', 'microenvironment', 'genetic', 'deletion']","['gene', 'gene', 'gene']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE205070', 'GSE106591', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE106591']"
10,22,10_traits_phagocytosis_trait_enrichment,"['traits', 'phagocytosis', 'trait', 'enrichment', 'pigment']","['phagocytosis', 'traits', 'phagocytosis']","['GSE205070', 'GSE205070', 'GSE205070', 'GSE210492', 'GSE205070']"
11,20,11_ko_leventinese_uxt_wt,"['ko', 'leventinese', 'uxt', 'wt', 'tophat', 'gaiix']","['KO', 'KO', 'KO']","['GSE205070', 'GSE210492', 'GSE143281', 'GSE106591', 'GSE106591', 'GSE106591']"
12,20,12_mice_knockout_mapped_animals,"['mice', 'knockout', 'mapped', 'animals']","['mice', 'mice', 'mice']","['GSE210492', 'GSE106591', 'GSE205070', 'GSE124745', 'GSE205070', 'GSE143281', 'GSE124745', 'GSE106591', 'GSE106591']"
13,18,13_neural_cornea_cellular_upregulated,"['neural', 'cornea', 'cellular', 'upregulated', 'quantified', 'prostate', 'investigated', 'inducible', 'diverse', 'conditional']","['neural', 'neural', 'neural']","['GSE106591', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE106591', 'GSE106591', 'GSE124745', 'GSE143281', 'GSE124745', 'GSE143281', 'GSE143281']"
14,17,14_failure_dispose_debris_rna,"['failure', 'dispose', 'debris', 'rna', 'isoform', 'gencode', 'filters', 'aspects', 'aligner', 'kinase']","['debris', 'debris', 'failure']","['GSE205070', 'GSE205070', 'GSE205070', 'GSE106591', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE143281', 'GSE106591', 'GSE205070']"
15,15,15_seq_tumor_rna_anti,"['seq', 'tumor', 'rna', 'anti', 'hiseq']","['RNA-Seq', 'RNA-seq', 'RNA-seq']","['GSE106591', 'GSE210492', 'GSE205070', 'GSE106591', 'GSE210492', 'GSE205070', 'GSE106591']"
16,15,16_lens_tissues_kidney_spleen,"['lens', 'tissues', 'kidney', 'spleen', 'specific', 'liver', 'libraries', 'goals']","['lens', 'lens', 'lens']","['GSE106591', 'GSE210492', 'GSE189618', 'GSE143281', 'GSE189618', 'GSE143281', 'GSE124745', 'GSE189618', 'GSE124745', 'GSE106591', 'GSE106591']"
17,13,17_mir_211_efemp1_c57bl,"['mir', '211', 'efemp1', 'c57bl', '6j', 'n3', 'tug1_tmn1', '1vlcg', '129s6', 'mice']","['miR-211-/-', 'miR-211-/-', 'miR-211']","['GSE106591', 'GSE106591', 'GSE210492', 'GSE124745', 'GSE124745', 'GSE124745', 'GSE124745', 'GSE124745', 'GSE124745', 'GSE210492', 'GSE106591', 'GSE205070', 'GSE124745']"
18,12,18_sequencing_sequenced_pcr_harvested,"['sequencing', 'sequenced', 'pcr', 'harvested']","['sequencing', 'sequencing', 'sequencing']","['GSE106591', 'GSE210492', 'GSE124745', 'GSE106591', 'GSE124745', 'GSE106591', 'GSE124745']"
19,12,19_whole_molecular_mrna_,"['whole', 'molecular', 'mrna']","['whole', 'whole', 'whole']","['GSE106591', 'GSE210492', 'GSE205070', 'GSE143281', 'GSE106591']"
