Topic,Count,Name,Representation,Representative_Docs,journals
-1,50,-1_sequence_reads_enrichment_changes,"['sequence', 'reads', 'enrichment', 'changes', 'technology', 'library', 'read', 'process', 'human', 'pigment']","['reads', 'sequence', 'sequence']","['GSE106591', 'GSE106591', 'GSE210492', 'GSE205070', 'GSE143281', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE143281', 'GSE205070']"
0,44,0_analysis_study_samples_validation,"['analysis', 'study', 'samples', 'validation', 'annotated', 'analyzed', 'degeneration', 'paralog']","['analysis', 'analysis', 'analysis']","['GSE106591', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070']"
1,38,1_biological_ngs_biologic_workflow,"['biological', 'ngs', 'biologic', 'workflow', 'pathways', 'methods', 'fdr', 'morphological', 'aspects', 'phenotypes']","['NGS', 'biological', 'biological']","['GSE106591', 'GSE205070', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE143281', 'GSE143281', 'GSE205070']"
2,31,2_retina_retinal_illumina_posterior,"['retina', 'retinal', 'illumina', 'posterior', 'receptor', 'photoreceptor']","['retina', 'retina', 'retina']","['GSE210492', 'GSE143281', 'GSE205070', 'GSE210492', 'GSE106591', 'GSE210492', 'GSE205070', 'GSE205070']"
3,27,3_removal_replicates_eyecups_gencode,"['removal', 'replicates', 'eyecups', 'gencode', 'compare', 'segments', 'absence']","['removal', 'removal', 'removal']","['GSE106591', 'GSE106591', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070']"
4,25,4_data_model_values_levels,"['data', 'model', 'values', 'levels', 'level', 'models']","['data', 'data', 'data']","['GSE106591', 'GSE210492', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE205070']"
5,24,5_mice_wild_type_mapped,"['mice', 'wild', 'type', 'mapped', 'animals']","['mice', 'mice', 'mice']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591']"
6,24,6_gene_deletion_genome_knockout,"['gene', 'deletion', 'genome', 'knockout', 'syngeneic', 'genetic']","['gene', 'gene', 'gene']","['GSE106591', 'GSE205070', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070', 'GSE143281', 'GSE205070', 'GSE205070']"
7,23,7_genes_processes_corpses_causally,"['genes', 'processes', 'corpses', 'causally', 'alleles']","['genes', 'genes', 'genes']","['GSE106591', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
8,22,8_mir_211_efemp1_mice,"['mir', '211', 'efemp1', 'mice']","['miR-211-/-', 'miR-211-/-', 'miR-211-/-']","['GSE106591', 'GSE106591', 'GSE210492', 'GSE106591', 'GSE205070', 'GSE210492']"
9,22,9_mertk_r345w_doyne_wheeler,"['mertk', 'r345w', 'doyne', 'wheeler', 'rsem45', 'burrows']","['Mertk', 'Mertk', 'Mertk']","['GSE205070', 'GSE210492', 'GSE210492', 'GSE106591', 'GSE106591', 'GSE106591']"
10,22,10_seq_rna_taqman_hiseq,"['seq', 'rna', 'taqman', 'hiseq']","['RNA-Seq', 'RNA-seq', 'RNA-seq']","['GSE106591', 'GSE210492', 'GSE106591', 'GSE210492', 'GSE106591', 'GSE106591']"
11,21,11_set_system_quality_female,"['set', 'system', 'quality', 'female', 'functional', '1000', 'with', 'severe', 'role', 'independent']","['set', 'set', 'set']","['GSE210492', 'GSE106591', 'GSE106591', 'GSE210492', 'GSE143281', 'GSE106591', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
12,20,12_cornea_neural_cellular_,"['cornea', 'neural', 'cellular']","['cornea', 'cornea', 'cornea']","['GSE106591', 'GSE106591', 'GSE210492', 'GSE106591', 'GSE205070']"
13,20,13_expressed_paired_end_upregulated,"['expressed', 'paired', 'end', 'upregulated', 'decreased', 'dependent', 'context']","['expressed', 'expressed', 'expressed']","['GSE106591', 'GSE143281', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070']"
14,20,14_next_isoform_generation_filters,"['next', 'isoform', 'generation', 'filters', 'aligner', 'kinase', 'debris', 'rna', 'protein', 'associated']","['Next-generation', 'Next-generation', 'Next-generation']","['GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE106591', 'GSE205070', 'GSE205070', 'GSE106591', 'GSE210492', 'GSE143281', 'GSE205070']"
15,18,15_libraries_goals_tumor_tissues,"['libraries', 'goals', 'tumor', 'tissues', 'immunity', 'disease', 'anti', 'resistant', 'pro', 'onset']","['goals', 'anti-tumor', 'anti-tumor']","['GSE106591', 'GSE106591', 'GSE205070', 'GSE143281', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070', 'GSE205070']"
