Topic,Count,Name,Representation,Representative_Docs,journals
-1,34,-1_transcriptional_post_noncoding_non,"['transcriptional', 'post', 'noncoding', 'non', 'metabolism', 'metabolisim', 'metabolic', 'homeostasis', 'h19ko', 'dystrophies']","['non-coding', 'non-coding', 'post-transcriptional']","['GSE100505', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE100505']"
0,65,0_muscle_muscles_physiological_mechanisms,"['muscle', 'muscles', 'physiological', 'mechanisms', 'muscular', 'intrinsic', 'functional', 'mitochondrial']","['muscle', 'muscle', 'muscle']","['GSE100505', 'GSE103202', 'GSE198229', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE198229']"
1,47,1_capacity_energy_week_target,"['capacity', 'energy', 'week', 'target', 'speed', 'profiling', 'profile', 'old', 'long', 'lab']","['capacity', 'capacity', 'capacity']","['GSE100505', 'GSE198229', 'GSE100505', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE103202', 'GSE100505']"
2,41,2_gene_seq_genetic_genes,"['gene', 'seq', 'genetic', 'genes', 'rna', 'studies', 'observations', 'activitiy', 'activities', 'sequencing']","['RNA-Seq', 'RNA-Seq', 'RNA-Seq']","['GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE198229', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE198229']"
3,40,3_tissues_disease_mice_whole,"['tissues', 'disease', 'mice', 'whole', 'dissected', 'disorders', 'body']","['tissues', 'tissues', 'tissues']","['GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE198229', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505']"
4,31,4_expression_regulation_regulating_array,"['expression', 'regulation', 'regulating', 'array', 'rna']","['expression', 'expression', 'expression']","['GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE198229']"
5,28,5_variability_to_overexpressed_maintain,"['variability', 'to', 'overexpressed', 'maintain', 'lateral', 'expressed', 'diverse', 'date', 'determinants']","['variability', 'variability', 'variability']","['GSE100505', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE198229']"
6,27,6_soleus_glucose_superseries_subseries,"['soleus', 'glucose', 'superseries', 'subseries', 'specialized', 'specialization', 'sarcopenia']","['glucose', 'Soleus', 'Soleus']","['GSE103202', 'GSE100505', 'GSE103202', 'GSE164673', 'GSE164673', 'GSE100505', 'GSE100505', 'GSE100505']"
7,27,7_resistance_regenerative_propensity_literature,"['resistance', 'regenerative', 'propensity', 'literature', 'fatigue', 'sclerosis', 'diversity', 'cachexia', 'exercise', 'endurance']","['diversity', 'literature', 'resistance']","['GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE198229', 'GSE198229']"
8,25,8_skeletal___,['skeletal'],"['skeletal', 'Skeletal', 'skeletal']","['GSE100505', 'GSE103202', 'GSE198229']"
9,15,9_h19_wt_ampk_,"['h19', 'wt', 'ampk']","['H19', 'H19', 'H19']","['GSE103202', 'GSE103202', 'GSE103202']"
10,15,10_programs_control_contraction_circadian,"['programs', 'control', 'contraction', 'circadian']","['programs', 'programs', 'programs']","['GSE100505', 'GSE100505', 'GSE100505', 'GSE100505']"
