gene_id,Mmus_C57-6J_EYE_FLT_Rep1_M23,Mmus_C57-6J_EYE_GC_Rep1_M33
ENSMUSG00000000001,4064,3310
ENSMUSG00000000003,0,0
ENSMUSG00000000028,144,98
ENSMUSG00000000031,1603,1135
ENSMUSG00000000037,116,102
ENSMUSG00000000049,4,7
ENSMUSG00000000056,2199,1729
ENSMUSG00000000058,2239,1643
ENSMUSG00000000078,3924,3505
ENSMUSG00000000085,1833,1409
ENSMUSG00000000088,2643,2205
ENSMUSG00000000093,2600,2301
ENSMUSG00000000094,23,31
ENSMUSG00000000103,0,0
ENSMUSG00000000120,2438,2751
ENSMUSG00000000125,8,3
ENSMUSG00000000126,653,491
ENSMUSG00000000127,1734,1245
ENSMUSG00000000131,3752,2921
ENSMUSG00000000134,1740,1426
ENSMUSG00000000142,1741,1769
ENSMUSG00000000148,752,577
ENSMUSG00000000149,2907,3092
ENSMUSG00000000154,239,237
ENSMUSG00000000157,1,0
ENSMUSG00000000159,9,6
ENSMUSG00000000167,73,63
ENSMUSG00000000168,2570,2034
ENSMUSG00000000171,2081,1828
ENSMUSG00000000182,4,4
ENSMUSG00000000183,20,12
ENSMUSG00000000184,6533,7967
ENSMUSG00000000194,3307,2799
ENSMUSG00000000197,2384,2004
ENSMUSG00000000202,43,52
ENSMUSG00000000204,13,7
ENSMUSG00000000214,87,58
ENSMUSG00000000215,6,18
ENSMUSG00000000216,5,6
ENSMUSG00000000223,535,454
ENSMUSG00000000244,6,11
ENSMUSG00000000247,1499,1383
ENSMUSG00000000248,135,76
ENSMUSG00000000253,1025,855
ENSMUSG00000000263,650,420
ENSMUSG00000000266,1892,1284
ENSMUSG00000000275,3723,2369
ENSMUSG00000000276,8440,6343
ENSMUSG00000000278,2258,2470
ENSMUSG00000000282,2214,1969
ENSMUSG00000000290,301,366
ENSMUSG00000000295,216,147
ENSMUSG00000000296,211,142
ENSMUSG00000000301,36,49
ENSMUSG00000000303,7989,6682
ENSMUSG00000000305,1477,1242
ENSMUSG00000000308,3741,3012
ENSMUSG00000000317,52,61
ENSMUSG00000000318,37,69
ENSMUSG00000000320,853,646
ENSMUSG00000000325,5768,7081
ENSMUSG00000000326,1764,1494
ENSMUSG00000000339,818,692
ENSMUSG00000000340,862,656
ENSMUSG00000000346,6327,4939
ENSMUSG00000000355,456,280
ENSMUSG00000000359,69,43
ENSMUSG00000000365,24,14
ENSMUSG00000000374,4345,3308
ENSMUSG00000000378,876,688
ENSMUSG00000000381,0,0
ENSMUSG00000000384,718,564
ENSMUSG00000000385,695,473
ENSMUSG00000000386,14,13
ENSMUSG00000000392,533,438
ENSMUSG00000000394,2,6
ENSMUSG00000000399,2370,2034
ENSMUSG00000000402,111,163
ENSMUSG00000000409,32,16
ENSMUSG00000000411,6,1
ENSMUSG00000000416,1308,844
ENSMUSG00000000420,3501,3067
ENSMUSG00000000435,13,10
ENSMUSG00000000439,1362,1121
ENSMUSG00000000440,130,69
ENSMUSG00000000441,3429,2663
ENSMUSG00000000486,59,39
ENSMUSG00000000489,325,327
ENSMUSG00000000530,764,852
ENSMUSG00000000531,173,141
ENSMUSG00000000532,3591,2768
ENSMUSG00000000538,7936,6647
ENSMUSG00000000544,7,6
ENSMUSG00000000552,22548,17627
ENSMUSG00000000555,497,495
ENSMUSG00000000560,300,153
ENSMUSG00000000561,2056,1654
ENSMUSG00000000562,4,9
ENSMUSG00000000563,6180,4760
ENSMUSG00000000567,2159,2155
ENSMUSG00000000568,7277,5211
ENSMUSG00000000579,244,121
ENSMUSG00000000581,845,639
ENSMUSG00000000594,2800,2878
ENSMUSG00000000600,2231,1538
ENSMUSG00000000605,5753,5052
ENSMUSG00000000606,0,0
ENSMUSG00000000617,2190,1814
ENSMUSG00000000627,270,173
ENSMUSG00000000628,16975,12712
ENSMUSG00000000631,7660,6323
ENSMUSG00000000632,2416,1998
ENSMUSG00000000673,17,6
ENSMUSG00000000682,53,65
ENSMUSG00000000686,37,51
ENSMUSG00000000690,0,1
ENSMUSG00000000693,354,339
ENSMUSG00000000701,0,0
ENSMUSG00000000706,5,1
ENSMUSG00000000708,6055,4502
ENSMUSG00000000711,6878,5978
ENSMUSG00000000724,109322,143844
ENSMUSG00000000730,2,5
ENSMUSG00000000731,0,1
ENSMUSG00000000732,463,300
ENSMUSG00000000738,2768,2440
ENSMUSG00000000739,73,39
ENSMUSG00000000740,17427,18055
ENSMUSG00000000743,2706,2107
ENSMUSG00000000751,5374,5115
ENSMUSG00000000753,3755,6852
ENSMUSG00000000759,1357,1067
ENSMUSG00000000766,62,46
ENSMUSG00000000776,567,453
ENSMUSG00000000782,149,108
ENSMUSG00000000787,20736,15592
ENSMUSG00000000791,3,2
ENSMUSG00000000792,338,330
ENSMUSG00000000794,360,338
ENSMUSG00000000804,8237,6232
ENSMUSG00000000805,81,35
ENSMUSG00000000811,407,341
ENSMUSG00000000817,2,2
ENSMUSG00000000823,1780,1348
ENSMUSG00000000826,13362,10449
ENSMUSG00000000827,1798,1512
ENSMUSG00000000838,2822,2205
ENSMUSG00000000861,487,324
ENSMUSG00000000869,7,10
ENSMUSG00000000876,664,494
ENSMUSG00000000881,2774,2350
ENSMUSG00000000884,177,145
ENSMUSG00000000889,17,4
ENSMUSG00000000901,158,170
ENSMUSG00000000902,2516,2217
ENSMUSG00000000903,2,0
ENSMUSG00000000915,2544,2102
ENSMUSG00000000916,356,333
ENSMUSG00000000934,630,518
ENSMUSG00000000938,1,1
ENSMUSG00000000942,0,0
ENSMUSG00000000948,652,312
ENSMUSG00000000957,3669,3204
ENSMUSG00000000958,150,81
ENSMUSG00000000959,1619,1203
ENSMUSG00000000976,1300,1051
ENSMUSG00000000982,13,3
ENSMUSG00000000983,27,26
ENSMUSG00000001014,3,7
ENSMUSG00000001016,2894,2430
ENSMUSG00000001017,5534,4195
ENSMUSG00000001018,1433,1114
ENSMUSG00000001020,1055,1341
ENSMUSG00000001021,137,123
ENSMUSG00000001023,0,2
ENSMUSG00000001025,18914,16142
ENSMUSG00000001027,1611,986
ENSMUSG00000001029,95,101
ENSMUSG00000001034,479,408
ENSMUSG00000001036,2819,2499
ENSMUSG00000001039,234,178
ENSMUSG00000001052,3789,2996
ENSMUSG00000001053,1481,1284
ENSMUSG00000001054,1379,1144
ENSMUSG00000001056,638,577
ENSMUSG00000001062,865,674
ENSMUSG00000001065,810,553
ENSMUSG00000001076,0,0
ENSMUSG00000001082,457,455
ENSMUSG00000001089,4628,3981
ENSMUSG00000001095,449,498
ENSMUSG00000001098,3585,3335
ENSMUSG00000001100,2448,2146
ENSMUSG00000001103,754,586
ENSMUSG00000001105,938,602
ENSMUSG00000001119,4523,6532
ENSMUSG00000001120,5780,4414
ENSMUSG00000001123,445,423
ENSMUSG00000001127,2970,2069
ENSMUSG00000001128,131,128
ENSMUSG00000001131,66,82
ENSMUSG00000001134,230,224
ENSMUSG00000001138,1539,1382
ENSMUSG00000001143,1939,1589
ENSMUSG00000001150,2674,2353
ENSMUSG00000001151,3186,2414
ENSMUSG00000001155,0,1
ENSMUSG00000001156,6596,4696
ENSMUSG00000001157,974,670
ENSMUSG00000001158,980,826
ENSMUSG00000001166,119,62
ENSMUSG00000001168,0,0
ENSMUSG00000001173,3040,2298
ENSMUSG00000001175,34387,28397
ENSMUSG00000001211,53931,42938
ENSMUSG00000001225,0,0
ENSMUSG00000001227,916,811
ENSMUSG00000001228,506,309
ENSMUSG00000001229,2057,1792
ENSMUSG00000001240,479,424
ENSMUSG00000001247,896,742
ENSMUSG00000001248,1447,917
ENSMUSG00000001249,60,17
ENSMUSG00000001260,195,147
ENSMUSG00000001270,22352,22012
ENSMUSG00000001280,6083,5099
ENSMUSG00000001281,354,290
ENSMUSG00000001285,777,654
ENSMUSG00000001288,4070,3459
ENSMUSG00000001289,4309,4584
ENSMUSG00000001300,3219,3156
ENSMUSG00000001305,322,282
ENSMUSG00000001313,965,837
ENSMUSG00000001323,1780,1293
ENSMUSG00000001333,235,217
ENSMUSG00000001334,823,669
ENSMUSG00000001348,246,185
ENSMUSG00000001349,173,156
ENSMUSG00000001366,2916,2055
ENSMUSG00000001376,1631,1299
ENSMUSG00000001380,1769,1407
ENSMUSG00000001383,2297,1959
ENSMUSG00000001403,359,147
ENSMUSG00000001415,3619,2807
ENSMUSG00000001416,4401,3880
ENSMUSG00000001418,1913,1682
ENSMUSG00000001419,13807,11045
ENSMUSG00000001420,776,498
ENSMUSG00000001424,3318,3050
ENSMUSG00000001435,6221,6810
ENSMUSG00000001436,929,819
ENSMUSG00000001440,11262,10062
ENSMUSG00000001441,9279,7325
ENSMUSG00000001444,14,8
ENSMUSG00000001445,1157,899
ENSMUSG00000001467,3885,3155
ENSMUSG00000001472,10992,9279
ENSMUSG00000001473,1135,1305
ENSMUSG00000001482,1933,1774
ENSMUSG00000001493,354,362
